acn,Report_1_Synopsis,Assessments_Primary_Problem
1872724,A321 flight crew reported a fume event during preflight while parked at Gate. After trouble shooting with no change the Captain refused the aircraft; a logbook entry was submitted. A different aircraft was assigned.,Aircraft
1806517,Captain reported a NMAC with a glider while on arrival.,Ambiguous
2131123,Cessna 172 pilot reported loss of directional control during landing roll and initiated a go-around during which pilot heard a bump sound. After return to base pilot learned they had struck a runway light resulting in aircraft damage.,Human Factors
1870111,Air carrier First Officer reported continuing the takeoff even after receiving a predictive wind shear warning because the calm ambient conditions seemed to preclude the possibility of wind shear.,Aircraft
1863806,Air Carrier flight crew reported a Ramp check upon arrival at destination which recovered a Hazmat documentation error. A discrepancy report was submitted by the Inspection Team.,Procedure
1781064,Air carrier flight crew reported a passenger misconduct incident during flight that initiated due to non-compliance with face mask policy.,Environment - Non Weather Related
1859878,Air carrier Flight Crew reported being informed by ATC of previous sightings of a UAS. Flight crew experienced an airborne conflict with the UAS while climbing away from a Class B airport during departure.,Ambiguous
1901569,EMB-145 First Officer reported encountering wake turbulence departing ORD in trail of an A320.,Environment - Non Weather Related
1803869,A TRACON Controller reported clearing an aircraft for a new approach and issued a crossing restriction below the MVA.,Human Factors
2084407,Air carrier pilot reported descending too low on final approach. Flight crew corrected and landed uneventfully.,Human Factors
1912260,Air Carrier Captain reported the RNP Runway 5 approach to RDU '...brings you in well left of runway centerline...'. The reporter has experienced this several times in different aircraft.,Ambiguous
2287094,B-737 air carrier pilot reported GPS jamming during cruise in domestic airspace. The flight continued to the destination and landed.,Aircraft
2290868,Air carrier flight crew reported ATC cancelled their takeoff clearance during takeoff roll due to an aircraft crossing the runway. Flight crew performed a rejected takeoff.,Aircraft
1990170,Pilot reported a critical ground conflict during the takeoff roll when another aircraft entered the runway at the opposite end. Pilot continued the takeoff roll and overflew the opposite end aircraft.,Human Factors
2176670,First Officer reported a critical ground conflict occurred when they entered the runway for departure at the same time as another departing aircraft due to clearance confusion. The First Officer stopped the aircraft and was instructed by ATC to exit the runway.,Human Factors
1968529,A Center Controller reported an Air Carrier was left on a heading too long and flew below the Minimum IFR Altitude.,Airspace Structure
1870312,Pilot reported a loss of GPS signal; possibly attributed to 5G interference.,ATC Equipment / Nav Facility / Buildings
2259579,Air carrier First Officer reported receiving a terrain alert while conducting a visual approach.,Human Factors
2137177,Flight Instructor with student reported alternator failure and a return to departure airport.,Aircraft
2280202,B787 Captain reported returning to departure airport after experiencing an engine overheat during initial climb.,Procedure
2112114,A320 First Officer reported during gate pushback; another aircraft taxied by at a high rate of speed requiring the A320 crew to stop push to avoid a collision.,Human Factors
1880596,Flight Attendants reported physical distress and signs of hypoxia requiring medical attention after landing. Reportedly; there was a continuous loud noise in the cabin and pressurization issues.,Aircraft
2104835,C172 pilot reported a NMAC while on the traffic pattern of 3DW non-towered airport requiring evasive action.,Human Factors
1883746,MD-11 pilot reported the failure of [Inertial Reference Unit] 2 during climb led to the failure of the yaw damper and LSAS. The Flight Crew elected to perform an air turn back and make a precautionary landing at departure airport.,Aircraft
1903930,Ramp Agent reported the retaining strap between the aircraft and tug broke during towing allowing the aircraft to roll backwards on its own.,Equipment / Tooling
2035634,Flight instructor on training flight with student in a PA23 aircraft reported engine failure in cruise. Flight instructor diverted and landed without incident.,Aircraft
2009164,Air carrier flight crew reported loss of aircraft control during cruise flight in weather.,Weather
2095110,Air carrier flight crew reported receiving a low altitude alert from ATC during approach. Flight crew climbed back to correct altitude and continued.,Human Factors
2300854,Air carrier flight crew reported GPS jamming on a flight near Iranian airspace.,Aircraft
1903037,A TRACON Supervisor reported an aircraft reported loss of engine power and intention to land in a field but than regained power when they turned on the fuel pump and landed safely at the airport.,Human Factors
1800062,Air carrier Captain reported confusion with the LGA airport La Guardia 7 SID engine out procedures.,Chart Or Publication
2122183,Brooke Wolf Velocity pilot reported the landing gear horn and warning lights came on after takeoff. Pilot remained in traffic pattern and landed safely.,Aircraft
2112925,B737 flight crew reported encountering wake turbulence departing BOS in trail of an Airbus.,Ambiguous
2209947,Light twin pilot reported an NMAC shortly after takeoff at RUQ airport when another aircraft executing a training maneuver descended into the downwind leg of the pattern.,Human Factors
1817878,Q400 Captain reported of loss of fluid in the #2 hydraulic system resulted in an air turn back and precautionary landing.,Aircraft
1793758,Pilot reported glideslope problems while inbound to GLS airport.,ATC Equipment / Nav Facility / Buildings
1851508,Corporate pilot reported hearing a significant amount of chatter on guard frequency that was not related to safety of flight.,Human Factors
2034971,General aviation cargo pilot reported a near miss with another general aviation aircraft in marginal VFR weather conditions; during daylight; outside of the tower controlled; airport traffic area. Both aircraft maneuvered abruptly to avoid a collision when turning toward the airport.,Ambiguous
2057001,RV-8 pilot reported they set an incorrect altitude in the autopilot during approach which resulted in a rapid descent and terrain alert. Pilot climbed back to altitude and continue the approach.,Human Factors
1828673,Flight crew reported executing a go around due to being below altitude; uncomfortable with the approach; and the airport environment.,Environment - Non Weather Related
2124433,Air carrier Captain reported an airborne conflict with a UAS shortly after takeoff. No evasive action was taken.,Human Factors
2116750,Center Controller and the Controller in Charger reported a general aviation aircraft encountered icing and temporarily lost control descending below the Minimum IFR Altitude.,Weather
1941811,CRJ-200 Captain reported dual MFD failure in cruise.,Aircraft
1949549,Air Carrier Captain reported the airport chart for MMQT should be updated.,Chart Or Publication
2207353,PA-28 instructor pilot reported the student flying lost directional control after landing in a gusty crosswind and the aircraft departed the runway with no damage.,Human Factors
1850160,Air Carrier First Officer reported a fume event shortly after takeoff. After trouble shooting and evaluating the situation flight crew returned to departure airport.,Aircraft
2216134,B757 Captain reported a hydraulic system malfunction during cruise. Flight continued to destination and landed.,Aircraft
2299144,Ground Service Agent reported the tails of widebody aircraft parked at Gate G6 at SFO protrude over the vehicle service road and personnel doing a walkaround will need to walk onto that road; where there are vehicles driving.,Human Factors
2008212,MBB-BK117 pilot reported the rotor wash of the helicopter while performing a hover taxi over the taxiway caused a nearby aircraft that was fueling to move. The other aircraft did not have a parking brake function and the wheels were not chocked.,Procedure
1782493,SR22 pilot reported the aircraft had a complete electrical failure but the pilot was able to perform a successful diversion and landing.,Aircraft
2194599,Air carrier EMB-175 flight crew reported loss of FMS sensors in cruise flight.,Aircraft
2191427,Ground personnel reported DG was assigned to the aircraft on the load plan but there was no DG to load. Aircraft returned to the gate to ensure no DG was loaded.,Human Factors
2076928,C150 instructor and student pilot reported an unknown equipment issue caused climbing performance issues during departure prompting an immediate return to the airport.  Tower had advised them of visible smoke coming from the aircraft.,Aircraft
1870557,GA pilot reported conducting a city tour and flying close to multiple towers within close proximity to the Class B airspace.,Human Factors
1796448,Air Carrier First Officer reported a flap overspeed during visual approach.  It was the First Officer's first flight after being out due to furloughs.,Human Factors
2018879,A TRACON Supervisor working a sector reported they vectored an aircraft away from conflicting traffic which placed the aircraft below the Minimum Vectoring Altitude.,Human Factors
2234735,Cirrus Vision pilot reported a runway incursion and a ground conflict with another aircraft that was on final approach that had to perform a go-around.,Human Factors
2237654,PA-28 pilot reported landing gear retraction malfunction with vibration after departure. Upon landing; the aircraft veered off the runway.,Aircraft
1962176,EMB-190 Captain reported an engine failure after touchdown. After turning onto a taxiway; the flight crew contacted ground and explained their situation. ATC dispatched ARFF to observe and escort the aircraft to the gate; where passengers deplaned normally.,Aircraft
1783017,Air carrier First Officer reported a long landing possibly outside of the landing zone.  Reporter attributed discrepancy to possible company policy of adding speed to straight in landings and the aircraft being light in weight.,Ambiguous
1929764,Pilot flying BE35 aircraft reported NMAC in cruise with SJ50 aircraft.,Human Factors
2239561,A319 pilot reported multiple ECAM and fault messages during cruise. Flight diverted to nearest suitable airport.,Aircraft
1953957,MD-11 pilot reported flight control difficulties in a turn during departure; followed by an aileron disagree message. Flight crew returned to departure airport and landed.,Aircraft
1927516,General aviation Pilot reported a near miss with another aircraft while in a congested traffic pattern at a towered airport.,Procedure
2180116,CL30 flight crew reported receiving a terrain warning during approach to an airport at night. The crew leveled off and resumed the approach once the warning ceased.,Human Factors
1872645,Air carrier Captain reported receiving an RA fault on short final at FLL; citing possible 5G interference as the cause of the event.,Environment - Non Weather Related
1960081,B777 Captain reported refusing the aircraft due to extreme weather and low temperatures; lack of effective ground heaters and preconditioned air and a deferred APU made it impossible to warm the aircraft to operating temperatures.,Weather
1932467,GA student pilot with instructor reported an NMAC while on the downwind leg to PLU non-towered airport.,Human Factors
2278746,B737-800 air carrier pilot reported an IRS malfunction on the First Officer flight instruments during the climb. The flight returned to the departure airport and landed overweight.,Human Factors
2128369,Flight Attendant reported the gate agent advised them the exterior cabin door handle was in the open position after landing.,Aircraft
2053664,PA-28 flight Instructor with student reported the Tower Controller issued them a heading in the traffic pattern that could have put them on a collision course with another aircraft.,Procedure
1783169,Flight Attendant reported a passenger was not compliant with face mask policy.,Ambiguous
2036168,B737 crew reported receiving an 'oil filter bypass' warning just after reaching cruise altitude. The crew shut down the engine per checklist and returned to the departure airport.,Aircraft
1849653,BE-33 Flight Instructor reported the trainee turned to a heading that was different from what they had communicated to the Tower Controller and caused an NMAC.,Human Factors
2228603,CL600 Captain reported entering an incorrect altimeter setting during initial approach; resulting in aircraft being 1000 feet below their assigned altitude and flight towards terrain.,Human Factors
2264916,Air carrier First Officer reported an NMAC with a UAS during descent. No evasive action was taken.,Aircraft
2217033,B737 flight crew reported the landing gear system was malfunctioning during approach. After opening and closing the manual gear extension door to confirm it was secured; the flight crew was able to extend landing gear; and the flight continued to safe landing.,Aircraft
1881072,Air carrier pilot reported possible 5G interference while landing at LAX Runway 25L.,Environment - Non Weather Related
1971479,A TRACON Controller reported an Air Carrier descended to 500 feet above conflicting traffic due to the controller missing a read back or misstating an altitude clearance.,Human Factors
2085064,DA40 pilot with instructor reported an NMAC while practicing an ILS approach with an aircraft with no Mode C; nor ADS-B.  Pilot took evasive action to avoid a possible collision.,Human Factors
2061581,Helicopter maintenance technicians reported that after scheduled maintenance they learned a pilot discovered during preflight inspection the tail rotor gearbox oil cap was not installed.,Incorrect / Not Installed / Unavailable Part
2093791,EMB Legacy pilot reported a CFTT event after receiving a low altitude alert from ATC during a localizer approach. Flight crew continued to landing after receiving a visual approach clearance.,Human Factors
1948309,Flight Instructor on training flight with student reported NMAC with Blackhawk helicopter.,Human Factors
1873737,Flight crew reported possible 5G interference at cruise; 20 NM North of CLT.,Ambiguous
2054963,General aviation pilot reported a near miss with another aircraft after takeoff from a non-towered airport in daylight visual conditions. The pilot reported the aircraft in sight and adjusted the climb to provide separation; then departed the traffic pattern.,Procedure
1888367,RV7 Pilot reported electrical failure inflight. Returned to departure airport.,Aircraft
2256441,A Tower Controller reported an aircraft instructed to hold short of the runway taxied on to the runway with another aircraft on short final.,Human Factors
2088501,Pilot on a post maintenance test flight flying CE-550 aircraft reported throttle and flap control malfunction inflight.,Aircraft
2039763,C172 Flight Instructor reported the aircraft lost power on initial climb necessitating a return to the airport.,Aircraft
2181470,A321 Captain reported while stopped during taxi another taxiing aircraft making a turn almost came in contact with the aircraft nose and flight deck windows. Captain stated the other aircraft corrected their path at the last moment and passed 20 feet from reporter's aircraft.,Ambiguous
1970102,Single Corporate Pilot reported a Critical Ground Conflict while taxiing to the assigned take-off runway. The pilot states; approaching a taxiway intersection a 737 was vacating the runway and did not appear to be stopping. The pilot took evasive action by turning out of the way of the oncoming 737. Inquiring ATC about the incident; the controllers apologized and said they had failed to stop the airliner.,Human Factors
2098308,Flight instructor in holding pattern reported NMAC with another aircraft entering the approach.,Human Factors
2108822,Flight instructor on training flight with student reported NMAC with another aircraft in traffic pattern.,Human Factors
1858622,TRACON Controller reported an aircraft descended below the MVA as a result of getting bumped around due to turbulence and mountain wave activity.,Weather
2099011,B737 First Officer reported while they were holding short for takeoff; tower instructed a smaller jet to taxi around the B737 with inadequate room to safely clear it. The Captain advised Tower of the problem and was then cleared for takeoff.,Procedure
1983848,B777 Captain reported an increasing fuel Imbalance in cruise. The flight crew monitored the observed fuel imbalance and elected to continue to the destination airport.,Aircraft
2207524,Air carrier flight crew reported responding to a TCAS RA on final approach to PHL that was caused by a helicopter flying beneath them. Flight crew followed RA instructions and resumed approach.,Procedure
1961009,Air carrier flight crew reported Ground Conflict with another aircraft during taxi to gate.,Human Factors
1956998,Part 107 UAS pilot reported they learned of an FAR violation during a post flight review.,Ambiguous
1786930,Flight Instructor flying BL8 aircraft reported the engine malfunctioned during descent.,Aircraft
2163617,EMB175 technician reported while troubleshooting the L1 arm/disarm mechanism it was found to be restricted. When they opened the door; the slide fell out; was partially blown and not attached properly. The diaphragm to door had been leaking and indicated zero psi.,Procedure
1863774,EMB-145 Captain reported the nose steering locked up during taxi out resulting in having to be towed back to the gate for maintenance action.,Aircraft
2072089,Air carrier flight crew reported receiving a GPWS terrain alert and a low altitude alert from ATC on approach to BOI when they misunderstood their descent clearance.,Human Factors
1995032,E145 First Officer reported the nose landing gear door had opened during cruise. The flight crew diverted; lowered the gear and landed safely.,Aircraft
1929716,Citation X First Officer reported they received Cabin Door Open and Cabin Vent Open CAS messages followed by a pressurization failure indication during initial climbout. They decided to return to the departure airport.,Aircraft
2040364,B737-800 flight crew reported receiving an engine overheat indication during departure climb. Flight crew performed an inflight engine shutdown and returned to departure airport for an uneventful landing.,Aircraft
2236310,General aviation jet Captain reported a traffic conflict when ATC sequenced their aircraft between two airliners on final approach with speed constraints to maintain the spacing. The Captain flew the assigned speed; but the spacing for the aircraft in trail was not able to be maintained and the trailing aircraft was directed to go around to maintain separation.,Human Factors
1866018,Air Carrier Flight Attendant reported burning odor 'similar to burning Lithium Ion battery' during climb. FA investigated the area and determined the 'possible' cause was spare Lithium batteries in passenger carry on bag. Flight executed a safe air return.,Human Factors
1927000,B767 flight crew reported unreliable air speed indications on the First Officer's side with EEC 1 and EEC 2 EICAS messages after take off. The messages cleared on their own along with an Aileron Lockout EICAS Message. The flight continued to the destination airport.,Aircraft
1797718,Pilot of an open cockpit biplane reported a misunderstood communication from the Tower resulted in a runway incursion and a go-around from the aircraft on approach.,Human Factors
2072280,B737-700 First Officer reported climbing through an altitude restriction departing DEN. A distracting wake turbulence encounter was cited as contributing.,Human Factors
1925975,Pilot reported issues with the condition of DWA airport including faded runway and taxiway markings and a rotating beacon with a non-operational light.,Airport
2088334,Air carrier crew reported receiving a low altitude alert from ATC while descending below the vertical path on the initial approach in visual conditions to GJT. The Captain stopped the descent then continued on a visual approach to a safe landing.,Procedure
2062044,B737-700 flight crew reported they discovered a brake fire while parking and the plane was evacuated.,Aircraft
2199285,PA28 student pilot reported conflicting traffic indicated on display resulted in evasive action and a NMAC event.,Human Factors
2252864,B737-800 flight crew reported an engine fire was observed by another flight crew during taxi out. Flight crew decided to return to the gate.,Aircraft
1872593,Air carrier Captain reported flying into a normal controlled airport; but Tower was closed due to COVID and having numerous issues in the air and on the ground with other aircraft.,Environment - Non Weather Related
2041658,Captain reported a GPWS pull up alert during the initial approach phase of a night visual approach. The First Officer immediately pulled up; then continued the approach to a safe landing.,Procedure
1808592,Captain reported a Rejected Take Off after receiving a #2 generator drive fault light which was a repeat write up.,Aircraft
2121793,General aviation pilot reported an NMAC at SMQ non-towered airport while entering the pattern with traffic operating from both runways.,Ambiguous
1829963,JAN Tower Controller reported the fire alarm goes off periodically for no reason.  This is a known reoccurring issue.  Reporter stated not knowing if it is a real fire or a false alarm every time it goes off is an issue which causes distraction.,ATC Equipment / Nav Facility / Buildings
2138100,Pilot reported a distraction while learning the autopilot system led to a course deviation and a NMAC with another aircraft.,Human Factors
1806836,B737-800 Captain reported refusing an aircraft due to improper MEL application.,Aircraft
2053181,BE36 pilot landing experienced a wind shear on short final and lost control resulting in a damaged nose wheel assembly and a prop strike.,Weather
2209545,A220 pilot reported diverting to an alternate airport after experiencing false GPWS terrain warnings in cruise flight. The warnings became continuous and extremely distracting during the diversion; and the aircraft was taken out of service for maintenance.,Aircraft
2062895,Air carrier Captain reported an aircraft generated CFTT on approach into UNV airport in VMC. The Captain stated a normal approach was accomplished.,Human Factors
1890024,B767 flight crew reported they shut down one engine due to loss of oil pressure; diverted to the nearest airport; and after landing with one engine; the rear brakes caught fire which was extinguished by airport personnel.,Aircraft
2285034,Gulfstream 500 pilot reported they rejected the takeoff due to a flight control system no dispatch Crew Alert System message indication.,Aircraft
1914921,Air carrier First Officer reported ATC issued a low altitude alert during approach after the Captain established a high rate of descent to regain glide path. The flight crew corrected and returned to a stabilized approach.,Human Factors
1802553,GA pilot reported an NMAC during cruise in ZOA Class E airspace.,Human Factors
2126999,Air Carrier flight crew reported aircraft started an uncommanded roll on engine start with an expected bias for push back under control of ground crew resulted in a ground loss of control.,Procedure
1829589,B737 MAX 8 First Officer reported finding unusual wear on a main tire which maintenance deferred for a later replacement.  First Officer was informed that it was a known problem.,MEL
1984296,Champion Citabria 7ECA flight crew reported a loss of directional control during Tail Wheel landing training which resulted in a runway excursion. On post flight inspection it was revealed that the right tail wheel spring had departed the plane; a damaged landing light and no injuries reported.,Aircraft
2252475,A Light Sport Aircraft pilot reported on landing roll they observed an Air Carrier departing from an intersecting runway and braked immediately to stop prior to the intersection.,Procedure
2171137,Flight Instructor reported experiencing a NMAC while on a base leg in the traffic pattern that required evasive action to avoid another aircraft.,Environment - Non Weather Related
1801494,C172 Student Pilot doing solo touch and goes reported hitting a runway light.,Human Factors
2222313,PA-16 Flight Instructor and student pilot runway excursion during landing.,Human Factors
2069963,A Mooney pilot reported the engine was sputtering due to loss of fuel due to loss of fuel cap in flight and then quit while taxiing on the ramp.,Aircraft
2259905,Air carrier First Officer reported electrical malfunctions and flap disagree indications.,Software and Automation
2167653,B777 pilot reported during taxi into gate a vehicle drove under their nose.,Airport
1799474,GA pilot reported they were on a runway holding short of an intersecting runway when they observed an aircraft about to land on their runway at ISP. They taxied off and advised Tower.,Human Factors
1899648,First Officer reported experiencing a TCAS Resolution Advisory to remain clear of conflicting traffic after departure from Newark airport.,Airspace Structure
1937191,An Air Carrier pilot reported aircraft taxiing on Taxiway ED in front of the Rwy 17R landing threshold at DEN can be a distraction to aircraft on short final as they appear to be crossing the runway. The reporter recommends notes on charts to warn crews.,Procedure
2246427,Cessna 150 pilot reported an engine malfunction while in cruise flight over the ocean between islands. The pilot diverted to an alternate non-towered airport and landed safely.,Aircraft
2194818,Air Carrier pilot reported they contacted TRACON after a go around and were issued a new heading and a Low Altitude Alert.,Procedure
2042854,Air carrier pilot reported a possible runway incursion while taxiing on Runway 6 with instructions to hold short of Runway 12L. Pilot recommends a 'Hot Spot' flag/designation for this location on the airport diagram to warn of potential for incursion.,Procedure
1815151,Military Pilot reported an airborne conflict in the traffic pattern.,Ambiguous
1843009,Challenger 350 Technician reported that MEL placards were not installed after life rafts were removed for overhaul.,MEL
2163958,A Corporate Jet Captain reported engine failure during initial climb and diversion to a nearby airport.,Aircraft
2043040,Captain reported a lack of taxiway lines and markings led to confusion regarding a taxiway and its proximity to the runway overrun area at the end of runway 18 at LIT airport.,Ambiguous
1805069,Air carrier flight crew reported a speed deviation under Class Bravo and then overshooting assigned altitude.  The Captain cited lack of flying as a contributing factor.,Human Factors
2288344,General aviation pilot reported during that their initial climb; they had a near mid air conflict with another aircraft due to their assumption that they were on a runway heading. They took evasive action to prevent a collision.,Human Factors
2259869,Air carrier pilot reported a fumes event where the flight attendants and passengers were experiencing symptoms that worsened over time from the slow deplaning process as the flight crew were not given a gate.,Aircraft
2285618,Recreational / Hobbyist UAS pilot reported flying in controlled airspace without LAANC authorization under the assumption that unlocking the manufacturer geofence was sufficient. Law enforcement officers approached the pilot after the flight and questioned them.,Aircraft
1943707,EMB-120 Captain reported an engine fire loop began to indicate erratically on climb. Pneumatic pressure began to fluctuate and cabin altitude could not be controlled. Flight crew performed an air turn back to departure airport.,Aircraft
1845556,Piper J3 Cub pilot reported the mageneto casing broke and detached from the engine during cruise resulting in loss of power and a successful off airport landing.,Aircraft
2172986,Part 107 UAS pilot reported a bird strike while flying which resulted in damage to the UAS.,Environment - Non Weather Related
2064294,Air carrier flight crew reported GPWS alert on approach in addition to CRM failure.  Flight crew landed uneventfully.,Human Factors
2175846,TRACON Controller and pilot reported the pilot descended through the assigned altitude and continued below the minimum vectoring altitude. The controller issued a low altitude alert and instructed a climb back to the original cleared altitude.,Airspace Structure
2120533,Air carrier Captain reported the aircraft rolled forward after setting parking brake at the gate. Captain applied brake pedals and stopped aircraft roll.,Aircraft
1861369,B777-200 First Officer reported diverting and making an overweight landing due to unreliable fuel quantity indications.,Aircraft
2158252,Flight Instructor with student reported a near miss during approach to UUU airport. Flight Instructor maneuvered to avoid traffic.,Human Factors
2124874,Air Carrier B737NG flight crew reported encountering wake turbulence from a preceding B757 on approach into EWR.,Ambiguous
2243246,EMB-170 flight crew reported receiving multiple advisory messages on descent; then experienced nose wheel steering failure after landing; necessitating a tow into the gate.,Aircraft
2220502,C172 student pilot reported momentary loss of control on landing.,Human Factors
1793267,GA flight instructor reported a ground conflict during taxi in as a BE23 pilot lost control of the aircraft during rev up in the hangar area.  The flight instructor took evasive action while the BE23 impacted a hangar.,Human Factors
1850543,Air carrier flight crew reported they had to stop taxiing abruptly to avoid a collision with a vehicle that unexpectedly passed in front of the aircraft. The abrupt stop resulted in several flight attendants getting injured when they fell and requiring medical attention.,Human Factors
1840712,Supervisor of collegiate flight program reported student on solo cross country experienced a runway excursion. Supervisor dispatched a crew to assess the situation and retrieve the student.,Human Factors
2073825,PA-28-180 Flight Instructor reported a near mid air collision with a helicopter on a converging course immediately after becoming airborne from a tower controlled field.  Instructor took controls and made an evasive maneuver to avoid the helicopter.,Ambiguous
1859903,Air Carrier Captain reported an NMAC with another air carrier crossing underneath them on final approach. The reporter stated they did not receive a TCAS/RA or traffic advisory from ATC.,Procedure
1783900,Flight instructor and student reported that during landing practice in a Citabria tailwheel aircraft; the student applied aggressive braking which caused the tail to rise resulting in a propeller strike.,Human Factors
2020190,Cessna 140 pilot reported a runway excursion during landing.  Reportedly; the flying pilot was high and fast and bounced upon touchdown then they were blown off to the left by unexpected right crosswinds.,Human Factors
2154837,CE-680 pilot reported a primary and secondary stabilizer trim failure; which resulted in an immediate return to the departure airport.,Aircraft
1903643,Air carrier flight crew reported a runway incursion at DFW when they misunderstood a taxi clearance. Aircraft on short final executed a go-around.,Human Factors
1900443,Pilot reported a propeller strike on a low wall during taxi after landing.,Human Factors
2250098,CVG Controller issued an IFR clearance while below the MVA resulted in a CFTT and an traffic conflict situation.,Procedure
2183642,Air carrier flight crew reported during climbout ingesting a large bird into an engine. Flight returned to departure airport safely.,Aircraft
1829075,B737 NG FO reported his aircraft was 'significantly upset' just before touchdown at EWR by jet blast from a taxiing B777.,Environment - Non Weather Related
1927852,Technician reported an aircraft had to return to the departure airport after the forward avionics compartment door was left open during a maintenance action; causing the aircraft to be unable to pressurize.,Human Factors
2002103,Recreational / Hobbyist UAS pilot reported they were flying in an approved location. The UAS had a near miss with a low flying rotor wing aircraft which departed from an off airport location.,Ambiguous
2112299,B737NG Captain reported encountering wake turbulence that resulted in an upset on descent into DEN and safely recovered.,Ambiguous
2170253,MD-11 flight crew reported they found an unknown weight and balance form on the aircraft; but no other paperwork. Upon landing; the flight crew learned there was undocumented HAZMAT on board.,Human Factors
2093647,D01 Controller reported aircraft acknowledged traffic in sight then returned on frequency to report a NMAC.,Airport
