acn,Report_1_Synopsis,Assessments_Primary_Problem
2172986,Part 107 UAS pilot reported a bird strike while flying which resulted in damage to the UAS.,Environment - Non Weather Related
2175846,TRACON Controller and pilot reported the pilot descended through the assigned altitude and continued below the minimum vectoring altitude. The controller issued a low altitude alert and instructed a climb back to the original cleared altitude.,Airspace Structure
1829075,B737 NG FO reported his aircraft was 'significantly upset' just before touchdown at EWR by jet blast from a taxiing B777.,Environment - Non Weather Related
2093647,D01 Controller reported aircraft acknowledged traffic in sight then returned on frequency to report a NMAC.,Airport
1946055,Pilot reported Maintenance Control incorrectly placed an MEL on a discrepancy.,MEL
1916742,A Center Controller reported during a period of aircraft weather deviations into one sector no action was taken by Management or Traffic Management Unit (TMU) staff to reroute aircraft away from the sector causing it to exceed the designated maximum safe traffic numbers for that sector.,Company Policy
1884375,LAX Tower Controller reported an aircraft did not follow printed taxi instructions on 'the North route'. Reporter stated this has been an ongoing issue.,Airport
2288743,TPA TRACON Controller reported repeated frequency outages occur creating unsafe situations.,ATC Equipment / Nav Facility / Buildings
2255183,Air carrier flight crew reported ATC vectored them to intercept the ILS approach course but the ILS was set up for the opposite runway resulting in a temporary loss of aircraft control.,ATC Equipment / Nav Facility / Buildings
2100887,Air carrier Captain reported receiving an RA while descending over VNY airport on approach to BUR. Flight crew complied with the RA and continued the approach.,Airspace Structure
1785329,AFW Tower Controller reported an airborne conflict and cited airspace design as a contributing factor.,Airspace Structure
1995596,Air carrier Captain reported an automation error between two similar sounding fixes; WITEN and WINEN; resulted in ATC issued course correction.,Airspace Structure
1891037,A TRACON Controller reported an aircraft turned to the wrong heading and flew below the Minimum Vectoring Altitude. The course deviation placed the aircraft in an area of poor radio coverage where ATC could not communicate with them.,ATC Equipment / Nav Facility / Buildings
1813875,Air carrier Captain reported that SJU TRACON informed the crew that the STAR they requested was NOTAMed out of service; however; other sources did not show any such NOTAMs.,Chart Or Publication
2215710,A Center Controller working combined sectors reported they became distracted and could not focus on the safe operation of their sector after being notified of the requirement to respond to an email from OPM to describe their work by the end of the day.,Company Policy
1843730,An air carrier pilot reported MCO ramp has a pothole that required excessive thrust to taxi out of.,Airport
1981557,TRACON Departure Controller reported an aircraft deviated from their assigned heading and flew below the minimum vectoring altitude.,Airspace Structure
1835212,ZLA Controller reported an airspace deviation when an air carrier went through two sectors undetected; until the third sector Controller identified the aircraft.,ATC Equipment / Nav Facility / Buildings
2040853,Tower Controller reported a possible minimum vectoring altitude violation due to a miscommunication in regards to the assigned altitude of a go around instruction.,Airspace Structure
2269987,A student pilot and their instructor reported the student turned the fuel selector switch off resulting in engine shutdown and a safe landing in a field.,ATC Equipment / Nav Facility / Buildings
1897186,Customer Service Representative reported personal issues with the removal of safety shields relating to health concerns.,Company Policy
2211775,A TRACON Controller reported an aircraft descended below its assigned altitude and flew below the Minimum Vectoring Altitude.,Airspace Structure
1968291,MDT TRACON Controller reported numerous conflicts occur between VFR aircraft not in communication with ATC and IFR aircraft on their final approach course. This is reportedly an ongoing issue and the reporter suggested the MDT airspace should be redesigned as a Class C.,Airspace Structure
2241079,Air carrier flight crew reported that the left side PFD and MFD malfunctioned at the same location on Runway 22L at ORD during two takeoff attempts. Another aircraft experienced a similar issue at same location.,ATC Equipment / Nav Facility / Buildings
2018958,Air carrier pilot reported incorrect charting for EWR taxiways A9 and A10. Pilot stated the markings on the ground conflict with what is charted on the airport diagram.,Chart Or Publication
2037838,Pilot reported their navigation database does not contain the fix CADRE for the ROCKT1 SID from LUK airport.,Software and Automation
1871563,Air carrier Captain reported loss of GPS on approach to DEN related to possible 5G interference.,Environment - Non Weather Related
2240285,Tug driver reported aircraft breakaway at gate resulted from nose gear coming out of cradle. Aircraft was stopped.,Equipment / Tooling
2136566,Air carrier Captain reported a lack of airport signage and runway identification markings at EIDW/DUB as the taxiway was undergoing re-painting.,Airport
1783505,Flight Attendant reported a passenger was not compliant with face mask policy.,Environment - Non Weather Related
2215303,ZMP Center Controller reported many pilots have asked for a fix on approaches to Canadian airports due to the close proximity to ZMP's airspace and boundary but the lack of information on fixes in Canadian airspace made it difficult for ATC to provide assistance.,Company Policy
1998026,Corporate jet Captain reported executing a go-around from approach to SMO after experiencing GPS anomalies. Reporter stated he was notified that other aircraft experienced similar anomalies in that area.,Environment - Non Weather Related
2184585,Air carrier Captain reported receiving ADS-B FAULT messages and no GPS signal on the aircraft and was later informed by ATC upon inquiry that GPS jamming was occurring in the area. The GPS signal later returned with no navigation degradation throughout the GPS disruption.,ATC Equipment / Nav Facility / Buildings
2284994,B767 First Officer reported safely returning to departure airport after a cockpit window outer pane cracked during climb.,Airspace Structure
2211787,Air carrier flight crew reported receiving a clearance to fly direct to BRNDN intersection when ATC's intent was for the flight crew to fly direct to the Brandon VOR; YBR. The two fixes were both pronounced the same but spelled differently.,Airspace Structure
2120231,B737 Captain reported during pushback the aircraft wingtip was very close to an adjacent pushback aircraft. Pilot lost communication with tug driver who stopped abruptly resulting in the tow bar shear pin to break.,Equipment / Tooling
2204112,ORD ramp worker reported returning a cargo loader to the terminal hardstand resulted in a collision with another loader parked in an inadequately lit area.,Airport
1809400,Pilot reported an FMS error caused them to deviate off course. The pilot reported prior to the deviation they were issued a reroute to avoid military airspace that is uncharted.,Chart Or Publication
1782779,Pushout Driver reported the tow bar pins broke and the tow bar damaged the aircraft's nose gear.,Equipment / Tooling
1955498,A Flight Crew reported they initiated a go around on short final due to a VFR aircraft on TCAS which appeared to be on a conflicting course.,Airspace Structure
1954708,Flight crew reported autopilot descending below glideslope with false signals resulted in disconnect to rejoin the ILS. Captain uncertain whether this was ILS critical area incursion; or ground ILS equipment failure.,ATC Equipment / Nav Facility / Buildings
1897871,Flight Crew reported a family of Canadian Geese on the runway during landing rollout.,Environment - Non Weather Related
1866054,GA pilot reported unmarked power lines near 3KY4 airport.,Environment - Non Weather Related
1798556,Air carrier Captain reported the LAS NITZ1 RNAV Engine Out for Runway 8L page diagram depiction of FLAAR and the 12.7 ring is confusing.,Chart Or Publication
1895983,Aircraft Owner with a CFI reported the aircraft ran out of fuel and the CFI landed the aircraft in a field with no damage. The owner used the incorrect fuel dip stick to check their fuel prior to departure.,Incorrect / Not Installed / Unavailable Part
2228451,Air carrier Captain reported a battery powered wheelchair that was loaded on board was not referenced in the manual. It was later determined the battery met all the requirements.,Manuals
2013295,A TRACON Controller reported they lost communication with an aircraft on a vector due to a frequency outage and the aircraft flew below the Minimum Vectoring Altitude.,ATC Equipment / Nav Facility / Buildings
1821822,Air Carrier Captain reported the Engine Fail Procedure for Runway 31 out of COS may be incomplete.,Chart Or Publication
2258948,Air carrier pilot reported confusing and contradictory information on MHR taxiway weight limits.,Chart Or Publication
1964798,A TRACON Controller reported they turned an Air Carrier at 4;000 feet away from an unidentified VFR aircraft also at 4;000 feet averting a possible mid air collision.,Airspace Structure
2252866,Air carrier flight crew reported receiving a false localizer signal on approach to JAC that resulted in an early turn to final approach course; potentially putting them in conflict with terrain. Reporter disconnected the autopilot and corrected the course.,ATC Equipment / Nav Facility / Buildings
1809599,Air carrier Captain reported an unreliable glideslope signal at SJU Airport.,ATC Equipment / Nav Facility / Buildings
1805340,Air Carrier pilot reported they believe the SFO METAR reports consistently issue incorrect wind directions.,Chart Or Publication
1959171,B757 Captain reported having to abruptly stop the aircraft due to observing a baggage tug with carts cross in front of the aircraft during initial taxi start.,Airport
1879572,A Corporate pilot reported GPS interference.,ATC Equipment / Nav Facility / Buildings
1958500,GA pilot reported a fueling truck at LRU airport parks too close to buildings and parked aircraft; is not properly marked as flammable; and fire extinguishers are not conspicuously apparent on the truck as required.,Company Policy
2253548,Air carrier Captain reported GPS interference on departure from RKSI.,Environment - Non Weather Related
2127348,A flight crew reported they attempted to taxi off the runway on a closed taxiway. They stopped when they saw cones but were still partially on the runway causing a subsequent arrival to go around.,Environment - Non Weather Related
2206108,A ramp wing walker reported they used their wands to stop a truck on a temporary roadway abeam the ramp from coming into contact with an aircraft being pushed back.,Airport
2086242,Air carrier Captain reported a near miss with a ground vehicle while taxiing into the gate; while under parking guidance from a ramp marshaller. The Captain stopped the aircraft; then continued to the gate; when the vehicle turned around and the safety zone was cleared.,Airport
1797324,Air carrier First Officer reported while flying through an area of poor GPS and radio signals they missed an ATC frequency change.,Environment - Non Weather Related
1990756,B737 flight crew reported an unstable approach at night with no vertical or ground guidance resulting in an unusual attitude situation. Flight crew regained aircraft control with upset recovery procedures.,Environment - Non Weather Related
1834092,Pilot reports the condition of runways and airport facilities are falling into disrepair. Pilot states grass runway conditions are becoming unsafe for landing aircraft because the grass has grown too high.,Environment - Non Weather Related
2190099,B747 Captain reported taxiing into the gate a helicopter crossed over the wing resulting in a critical ground conflict event.,Airport
2082209,Air carrier flight crew reported a taxiway excursion from Taxiway B at LAX at night in the rain. Reportedly; a lack of green taxi centerline lights and poor centerline reflectivity contributed to the event.,Airport
2103954,Air carrier pilot reported ramp exit spots on movement and non movement areas at DFW have been painted the same yellow color resulting in a taxiway incursion from Spot 32.,Airport
1853207,Flight Instructor reported an area of the taxiway was fenced off and taxi lines repainted at DXE airport. Pilot states there was no NOTAM warning pilots of the change and obstruction.,Airport
1955341,B737-800 Ground Service Technician reported that while towing the aircraft; due to the lack of proper safety envelope markings and poor lighting; the aircraft collided with the service stairs.,Airport
1968284,A90 TRACON controllers stated the Wind Shear Alert only alerted at the Supervisor desk and the Controller working the final approach could not hear the warning. Reporter stated at times it is necessary for the Watch Supervisor to not be at the desk where the alert sounds.,ATC Equipment / Nav Facility / Buildings
2009412,Air carrier Captain reported a lack of ground markings or signs while taxiing on specific taxiways at MCI makes identifying taxiways at night difficult.,Airport
2275097,I90 TRACON Controller reported that another controller had to issue a traffic alert to an airliner on final approach due to a VFR aircraft that was operating directly below the Bravo; which happens all the time.,Airspace Structure
1870335,Captain reported loss of GPS signal and VNAV on GPS approach resulted in change to a visual approach.,Airspace Structure
1813026,Non-flying pilot reported an aborted takeoff after encountering birds.,Environment - Non Weather Related
2091189,ZAB Center Controller reported planned GPS jamming in their sectors near the TXO VOR caused an air carrier and other aircraft to experience navigation difficulties.,Company Policy
1966018,Air Carrier Pilot reported there was no Taxiway signage for Kilo while taxing on Bravo. The pilot stated after being given a clearance 'taxi B to K'; Kilo was difficult to identify.,Airport
1906842,CL300 flight crew reported striking the rudder of a Pilatus while taxiing for parking under a marshallers guidance.,Airport
1922866,Pilot reported a red CAS message indicating high ITT on takeoff roll and rejected the takeoff.,Software and Automation
1896907,Air carrier flight crew reported a track heading deviation while on the VKTRY 2 arrival to DAL airport.  Similar sounding fix names FAWNT and PHAUP were cited as contributing to the event.,Airspace Structure
2054328,Pilot reported large dog on runway during takeoff. Pilot took evasive action to avoid hitting dog.,Airport
2144971,Pilot flying a visual approach reported a near CFIT incident in day VFR conditions.,Chart Or Publication
2073139,Beech Bonanza pilot reported observing an oil leak on top of the engine cowling during climb. The pilot returned to the departure airport and landed safely.,Incorrect / Not Installed / Unavailable Part
2131528,Air carrier Captain reported a safety concern regarding a lot of loose asphalt and FOD being on the taxi route.,Airport
2254302,Air carrier Captain reported encountering GPS interference in Myanmar/Yangon and China/Kunming airspace.,Environment - Non Weather Related
2295769,Large transport flight crew on final approach to PIE reported that they received a TCAS/RA Alert for a helicopter maneuvering in their flight path.,Airspace Structure
2041535,Air Carrier Captain reported a near collision with two separate ground vehicles while taxiing at night on the ramp.  The Captain abruptly stopped both times to avoid a collision.,Airport
1945058,Air Carrier Captain reported 'GNSS Not Available EICAS' message received during taxi. Local maintenance stated it was a known issue and cleared to depart.,Environment - Non Weather Related
2127680,General aviation pilot flying reported confusing a runway for a taxiway at TRK airport.,Airport
2190693,Air Traffic Controller reported trees obstruct the BGM Tower's view of the ramp area creating a blind spot that requires extra communication with aircraft.,Airport
1896821,B737-800 flight crew reported push crews lack of attention resulted in winglet damage by contact with truck ladder.,Airport
1883021,Pilot reported the airport beacon at LKU is very weak and difficult to see.,Airport
1870206,Air carrier First Officer reported loss of GPS signal on arrival into DEN; possibly related to 5G interference.,Environment - Non Weather Related
1951964,Air Carrier pilot reported an air carrier taxiing onto the runway had to take evasive action to avoid the reporter's aircraft which was at the hold short line. B737 and A320 aircraft taxiing on the new Taxiway J centerline markings at DCA do not remain clear of the north-south hold short line.,Airport
2219127,Helicopter flight instructor reported another helicopter on a converging resulted in taking immediate evasive action and a NMAC event.,Airspace Structure
2004309,Air carrier Captain reported a conflict between published crossing restrictions and the FMS database of both the KEDMA1B SID and the XUDED1B STAR at MMPR airport.,Chart Or Publication
1783190,Flight Attendant reported a passenger was seated in the company social distancing blocked seat.,Environment - Non Weather Related
2273865,A80 TRACON Controller reported AUO Tower's shout line has been out of service for an extended period and has made timely communication and coordination with the Tower difficult.,ATC Equipment / Nav Facility / Buildings
2302055,General aviation Flight Instructor reported a loose piece of concrete on the ramp at JVL struck and caused damage to the propeller during taxi.,Airport
2237912,A Tower Ground Controller reported tower positions were combined due to lack of staffing and no one in the tower noticed the Local Controller taxied an aircraft across a runway at the same time another aircraft was departing.,Company Policy
2195272,Air carrier flight crew reported a taxiway incursion while taxiing at night at RJTT and cited the close proximity of the taxiways; poor lighting; and confusing signage as contributing to the event.,Airport
2160557,Air carrier pilot reported Runway 17R at DFW is unsafe for departures due to its shortened length and does not have enough length for potential rejected takeoffs. There was an active construction zone at the end of the runway; which added to the safety hazard for takeoffs utilizing that runway. The airport pages were also still showing the runway with its original; longer length.,Airport
1845110,Pilot reported safety concerns related to inadequate staffing that could result if employees take leave in order to not comply with the company's vaccine mandate.,Company Policy
2032823,Air carrier Captain reported there were no guide lines for parking or taxiing on the East Pad at SAN and it was difficult to determine if the aircraft was clear from other objects. Another air carrier approached the area and also could not determine if there was proper wing tip clearance. Airport Operations had to be called to clear the conflict.,Airport
1870325,Air carrier First Officer reported GPS and Transponder failure along with course misalignment indications on localizer.,Airspace Structure
1990610,Pilot reported a NMAC on base leg resulted in taking evasive action.,Airport
2144028,Air carrier First Officer reported a taxi error at RJTT due to taxiway sign being obscured by tall grass.,Airport
2170039,C172 Flight Instructor reported the LRY and LWC airports are referred to using the same name and share the same CTAF; with similar airfield layouts that resulted in confusion with pilots and ATC. Flight Instructor also reported these two airports are 47nm apart creating radio overlap.,Airport
2218694,Corporate jet pilot reported a near miss with an aircraft while descending on final approach which resulted in a TCAS RA. The pilot leveled off following the TCAS RA guidance; then continued to landing.,Airspace Structure
1875743,Air Carrier Captain reported during push back operations at BOS airport; a lack of communication and visual with tug resulted in aircraft rolling into tug.,Airport
2172211,SK64 pilot reported a lack of flight time limitations of U.S. registered aircraft operations in foreign countries resulted in severe fatigue situations.,Company Policy
2199990,Air carrier First Officer reported the flight crew loaded the wrong fix and flew approximately 8 miles off course before being corrected by ATC. The reporter stated that the fixes KP12E and KP21E are quite similar and also close in proximity; which led to the mistake going unnoticed during route verification.,Chart Or Publication
2179169,Air carrier Captain reported intermittent GPS loss during cruise prior to descent and informed ATC; who also stated that other aircraft were experiencing GPS loss. There were no NOTAMs indicating GPS jamming or spoofing in the area.,ATC Equipment / Nav Facility / Buildings
1798317,Air carrier First Officer reported MYR airport diagram indicates taxiway A4 as Z.,Chart Or Publication
2306792,Light aircraft Flight Instructor reported an NMAC in the traffic pattern at GSO during initial climb.,Airspace Structure
1790820,F11 Controller reported an unsafe scenario with two aircraft that were in a conflict due to a STAR and a VFR practice area being in close proximity.,Airspace Structure
1809922,Air Carrier Pilot reported the taxiway signage is misleading at DEN airport.,Airport
1850312,G650 flight crew reported erroneous airspeed and altitude indications after takeoff.,Software and Automation
2218719,A pilot reported a NMAC while practicing ground reference maneuvers in the traffic pattern of a non-towered private airport.,Airspace Structure
1986258,TRACON Controller conducting training reported the trainee descended an aircraft to an altitude 100 feet below the minimum vectoring altitude.,Airspace Structure
1787833,Air Carrier First Officer reported the taxi line at MSLP airport is too near the grass area for a large aircraft; creating a safety concern.,Airport
2274876,Air carrier flight crew reported experiencing GPS jamming in the vicinity of SJN VORTAC.,Environment - Non Weather Related
2066114,Cessna 550 Captain reported the GMU PAPI appeared to be mis-aligned in the vertical path; compared to the aircraft derived vertical path while on final approach.,ATC Equipment / Nav Facility / Buildings
1822464,An aerobatic pilot who has a FAA waiver for a designated Aerobatic Practice Area reported traffic routinely flies through the airspace when it is advertised in use.,Chart Or Publication
2241776,Air Carrier Captain reported passing over a significant bump on the Runway 23L surface at MMMX that caused the premature and uncommanded rotation of the aircraft as the nose gear passed over it.,Airport
1780531,GA pilot reported the SNA airport Tower was closed possibly due to COVID-19 resulting in difficulty closing the IFR flight plan.,Staffing
1790756,Center Controller reported multiple read back errors while wearing a mandated face mask.,Environment - Non Weather Related
2222766,Air carrier technician reported that while reviewing the aircraft logbook of a B787 they found a carry forward item with incorrect limits applied to a high-pressure stage one turbine blade that had damage which caused an unscheduled engine change.,MEL
2161820,Air carrier Captain reported a taxi error at EWR due to new taxiways and ramp markings not being depicted on charts.,Chart Or Publication
1907711,B767 flight crew reported operating the aircraft in revenue service with an incorrect fuel management panel installed. The aircraft was later removed from service and the correct panel was installed.,Incorrect / Not Installed / Unavailable Part
1793301,Pilot reported not having flown in a while; having difficulty finding an airport; and having issues with ATC.,Environment - Non Weather Related
2301004,A321 pilot reported to commend ground controller for professionalism; handling multiple aircraft due to staffing shortages. Pilot suggested that companies provide guidance to crews to be attentive and professional in situations such as this.,Staffing
2250858,Light aircraft flight instructor reported an airspace violation occurred when they departed from their cruise altitude after experiencing GPS jamming in the HSV area.,ATC Equipment / Nav Facility / Buildings
1787076,B777-200 Captain reported Hazmat documents contained Hazmat cargo weight errors caused by Weight & Balance software/automation  issues.,Software and Automation
2014861,Air carrier Dispatcher reported a Captain was reporting the failure of a GPS unit prior to oceanic airspace. The Dispatcher had difficulty convincing the Captain that the aircraft was in a known area of GPS jamming.,Environment - Non Weather Related
2013352,B737 pilot reported a NMAC with a helicopter after takeoff following a vector from ATC.  Helicopter pilot descended to avoid colliding with the B737.,Airspace Structure
2066920,Air carrier flight crew reported on short final a large flock of birds climbed into the aircraft's flight path; resulting in several bird strikes and aircraft damage. The air crew continued the approach and landed without further event.,Environment - Non Weather Related
2092033,ZBW Controller reported limited radio capability to issue a climb clearance resulted in an aircraft entering a higher MVA and a CFTT event.,ATC Equipment / Nav Facility / Buildings
2113730,Pilot conducting a VOR 18 approach at night to TUP reported bright white lights to the left of the runway could be confused with PAPI lights and give a pilot a false glideslope indication.,Airport
1971164,B737-800 flight crew reported multiple bird strikes during takeoff.,Environment - Non Weather Related
1812224,Pilot reported suspect alterations to the aircraft; engine and propeller logbooks after an alternator bearing failure in flight.,Logbook Entry
2195108,Center Controller reported when they issued a clearance to CRL VOR; the pilot responded that the fix CRL was in Mexico according to their database.,Chart Or Publication
1959114,Cirrus Vision SJ50 pilot reported on visual approach; observed multiple aircraft in conflict resulting in taking evasive action and an NMAC.,Airport
2280897,B757 Captain noted a loss of center system hydraulic quantity after accomplishing flight control checks.  After returning to gate crew was told by maintenance there was a leak in the tail section of aircraft.,Airport
1925288,Air Carrier Captain reported the Jeppesen FD Pro App has charting errors depicting the Anchorage Arctic FIR boundary notes and the Gander Oceanic Transition Area.,Software and Automation
2234764,Air carrier First Officer reported spots Q and R are not depicted on the AMM at IAH Airport.,Chart Or Publication
2062808,Air carrier ground employee reported an aircraft that was parked at the gate with nose wheel chocks installed rolled back about 1.5 feet because deice fluid on the ramp allowed the chock to skid. Chock was reinserted and no damage reported.,Airport
2251886,Air carrier Captain reported that glide slope anomalies on approach to SFO ILS 28R led to an unstabilized approach and a low altitude alert from ATC.,Equipment / Tooling
2248489,General aviation First Officer reported a near miss with a departing aircraft on a visual approach.,Airspace Structure
2009903,Air carrier Captain reported similar sounding fixes on the AMA RNP Z 22 approach; PULBE and TELVE; which caused a clearance and heading deviation.,Airspace Structure
1847368,ZDC ARTCC Controller reported an aircraft descended below its assigned altitude and separation was lost with another aircraft. The ZDC Controller reported their Standard Operating Procedures cause TCAS/RA events to occur.,Airspace Structure
1855399,B737-800 technicians reported that as the tail jack failed in the middle of jacking the aircraft; the aircraft tail dropped hard on the tail jack; causing significant damage to the tail section.,Equipment / Tooling
2246115,Flight instructor reported the aircraft's wheel got stuck in a taxiway crack that had just been tarred over.,Airport
2085076,Corporate pilot reported a taxiway incursion; indicating non-standard faded taxiway markings as a contributing factor.,Airport
2161288,Air carrier pilot reported conflicting information concerning the JFK WA taxiway operational status as identified in a NOTAM; and the Jepp Pro AMM taxiway chart.,Chart Or Publication
1789694,Air Carrier flight crew reported the aircraft left main landing gear left the taxiway while the aircraft was on the taxiway center line at BTR airport.,Chart Or Publication
1860100,A320 Captain reported 2; N1 fan blades bent and not noted in logbook. Maintenance showed as reported and deferred several times. Captain stated they have no access to history of previous reports or deferments; to determine airworthiness.,Logbook Entry
2053246,B737 Captain reported approaching ramp at night; a passenger bus failed to yield to aircraft resulted in abrupt braking to avoid a collision.,Airport
2196804,"Air carrier Captain reported that the Park Visual Runway 31 and RNAV (GPS) X Runway 31 approaches at LGA are both selected using RNVX 31."" However; using that designation only loads the RNAV (GPS) X approach; making it impossible to load the Park Visual approach. The reporter states that the two approaches use different fixes and missed approach procedures; which can lead to confusion for pilots.""",Software and Automation
2095938,Air carrier Captain reported the FliteDeck Pro application's airfield diagrams for MMGL are outdated and do not match with the taxi information that ATC provides.,Chart Or Publication
2073826,C172R pilot reported a near mid-air collision with a Cessna that departed in front of them while on short final approach.  Pilot went around and established lateral offset from the other aircraft; re-entered the pattern and landed normally.,Airspace Structure
2237330,Part 107 UAS pilot reported a near miss with a helicopter during cruise flight.,Environment - Non Weather Related
2110516,Pilot reported a GPWS terrain warnings on final approach twice; with no published approaches but recent runway construction. After conducting terrain escape maneuvers twice; pilot landed after third approach.,Software and Automation
1850466,Recreational / Hobbyist UAS pilot reported they had control issues with certain flight controller modes during takeoff. Pilot overcame the issue and was able to safely continue the flight.,Software and Automation
1833425,Technician reported that when using the maintenance application for electronic log book sign offs; it allows the use of 'Not Applicable' for entries; which is not allowed by the Engineering Authorization.,Software and Automation
1806189,Air Carrier First Officer reported confusion regarding the taxi instructions from MMGL ground control and the taxi chart.,Environment - Non Weather Related
2112416,Air carrier flight crew reported a traffic conflict with ground vehicles after push back and before taxi from the gate. The vehicles suddenly moved in front of the aircraft as the parking brake was released to taxi and the aircraft remained stationary to avoid the conflict.,Airport
1930358,Center trainee reported they observed a MSAW Alert for an aircraft too low for radio coverage that was above their Minimum IFR Altitude but on the boundary of another facility.,Airspace Structure
1872678,Air carrier First Officer reported glide slope and takeoff configuration warning anomalies on arrival into MCO; citing possible 5G interference as the cause of the issues.,Environment - Non Weather Related
2147066,A TRACON Departure Controller reported a departing aircraft entered the subsequent sector without a handoff and into possible confliction. The reporter was unfamiliar with the newly designed RDVS and could not accomplish the required coordination in a timely manner.,Company Policy
1794544,Flight Instructor reported taking evasive action to avoid an aircraft with loss of power returning to field.,Environment - Non Weather Related
1807279,Pilot reported that charts for PGSN airport advise there are VASI lights; but there aren't any and there is no plan to install them.,Airport
2124556,B737 Captain reported a loss of control on ramp when plane rolled back into a ramp depression at the gate.  While attempting to pull further forward Captain noticed a ramp person with chocks under his window prior to it being safe to approach the aircraft.,Airport
2254866,Air taxi First Officer reported having communication problems with ANC Ground Control that may be due to interference from construction causing a radio dead zone on the ramp area.,Airport
2159137,Flight Instructor reported a NMAC and had observed their solo student on short final with another aircraft also on short final abeam them.,Environment - Non Weather Related
2250381,Fractional jet Captain reported a GPS jamming event while on a RNAV arrival in domestic airspace. The Captain changed to heading mode and notified ATC; then the GPS jamming cleared before landing.,ATC Equipment / Nav Facility / Buildings
2178385,Air carrier Captain reported an NMAC with a light aircraft on descent into PVU.,Airspace Structure
2198388,Air carrier pilot reported they were assigned a gate at MBPV/PLS airport that was not listed on Jeppesen charts. Pilot also reported confusing taxi instructions along with a lack of ground support created multiple hazardous situations.,Airport
1793504,An air carrier pilot reported GPS jamming.,ATC Equipment / Nav Facility / Buildings
1798389,GA pilot reported a loss of communication with the ATC Center resulting in an ADS-B traffic alert.  Reporter cited possible COVID-19 related ATC staffing issues may have contributed to the event.,Staffing
1974826,A Customer Service/Gate Agent reported yellow stow circles and other paint lines on the ramp have faded away which could result in an improper jet bridge positioning.,Airport
2303632,Air carrier Captain reported abruptly stopping the aircraft due to ground vehicle on service road failing to yield to the airplane.,Airport
2046502,Air carrier Captain reported descending too low on the approach and triggering a ground proximity warning. The glideslope at the airport was out of service and the flight crew missed that information in the NOTAMs.,Chart Or Publication
2060024,"Pilot reported a taxiway incursion at CRQ resulted from confusion of a blue box"" with a 'blue line' to taxi to the customs ramp.""",Chart Or Publication
1953884,Flight Instructor reported when lined up on runway for takeoff; a NORDO aircraft overflew them and landed. Pattern traffic warned instructor to not takeoff.,Airport
