,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1240834,chartorpublication,Upon taking over the aircraft and doing preflight. I noticed there was biohazard in row 28 and on seat carpet area of seat 28B; as well as both aft lavatories. The cleaners that boarded came and did only trash. They came on board with no cleaning supplies and only cleaned the area with a safety card; dry paper towels. The Captain and I both insisted on having the correct biohazard cleaning done. However; we were both overruled and forced to accept the aircraft in this unsanitary and unsafe condition for the next group of passengers. Once again agents stated no training and no supplies provided to meet biohazard and OSHA cleaning standards. We remain non-complaint at the airline with unsanitary; unsafe and unhealthy cleaning standards where we reamain in violation daily at the airline.The flight continued and another group of passengers also fell ill in the exact same group of seats on this aircraft. The areas were warm and there were issues with unmaintained and nonfunctining cool air packs in this area of the aircraft. Also passengers once again gave signs of Aerotoxic Syndrome poisoning with violent regurgitation with migraines.This is a classic sign that our wet seals in the bleed air chambers have become compromised and are leaking organic phosphate toxins into the cabin from the skydrol hydraulic fluid creating tcp. I have requested many times over for a Cabin Air Quality program. A proactive change out out policy on wet seals in the chambers. Yet; it continues to fall on deaf ears here.AFA Safety Report filedAirline Safety Report filed,
1243143,chartorpublication,With traffic in the area center asked us if we had the field insight. The Captain and I both acknowledged that we did and communicated that with center. We were then given direct to the NDB at which time further instructions would be given. Just before reaching the NDB we were cleared visual for Runway 31. We rejoined our lateral track of the GPS ground track to line us up with the runway and activate the secondary flight plan in case of a balked landing. When we switched with tower he asked us if we were still on the GPS approach. We then told him that we were on a visual and approx 4 nm for the field. Several moments later we were cleared to land runway 31. As we exited the runway ground said he had a question for us. He asked ' are we allowed to do visuals since he had never seen a crew accept that clearance'. This alarmed both of us in the flight deck so we read over the notes again to find Visual Procedures N/A. We are not sure if it's for the visual published in the Jepps are if no visuals are allowed ever. The airport information needs to be clearer about visual approaches. Are they approved or are they not no matter what the circumstances.We should have just accepted the hold and waited for the IFR traffic to clear the area. We answered 'field in sight' without thinking of any issues that may come up. However; if it is found that no visuals are acceptable then it needs to say it in bold writing so there is no confusion.,
1244548,chartorpublication,We flew the INDIE ONE Departure out of HOU. The database had an effective date of (date) and was loaded properly. The INDIE ONE Departure had an effective date of (date).  On the bottom of the chart it lists no change.  We later noticed that there is a fix 'WWELL' between SUSHI and INDIE ONE the 026 at 38.8 DME.  This fix was not on the LEGS page of the updated database. Upon landing; Dispatch and HOU ATC was notified of the suspected chart error.  ATC said they did not depict the 'WWELL' fix on their government chart and they suspected a Jeppesen error.  According to ATC; our database was correct and the chart incorrect.  We double-checked both charts (expired and current) to verify that 'WWELL' was only on the (date) effective date chart.  We also found it interesting that the old and new chart are both titled INDIE 1 and the new chart states no changes at the bottom but has an extra fix!,
1245537,chartorpublication,Arrived in the terminal area at Chicago O'Hare and we were vectored for the ILS Approach 28C.  We intercepted the localizer and glide slope and contacted tower at the marker.  When I called tower I noticed and verbally said we are on the ILS 28R from reading it off the ND.  Immediately the Captain told me to tell tower we were executing the missed approach and shortly after ATC advised 28R was closed.  At that time we realized we were on the wrong approach.  We executed the missed approach and the subsequent approach to ILS 28C was executed to an Autoland due to weather.The main factor for me was fatigue.  I had been awake for 17 hours and was unable to sleep in the crew rest seats.  Without being able to lie flat and the noise of the bathroom toilet flushing I did not get adequate rest.  The approach to 28R was loaded in the box the whole time however we briefed an Autoland to 28C.,During preflight; I programmed 28R in the FMC. Upon arrival at ORD; ATIS calling for ILS 28C. Briefed approach for 28C; but failed to change FMC approach page to 28C. Executed a go around at the outer marker for 28R and received vectors for 28C; followed by an uneventful landing on 28C.
1246107,chartorpublication,Cleared to descend via SERFR1 STAR; 'West transition.' Queried ATC as to whether they meant the 'WESLA' transition and they responded affirmatively. Frequency change and next Controller asked where we were going. We responded we were descending VIA the WESLA transition. ATC cleared us direct MENLO for 28L. They had wanted us to descend for landing west; not WESLA transition.,
1246110,chartorpublication,Cleared to descend on the SERFR 1 STAR and given a 'West' transition. Thought we heard previous aircraft get the 'Wesla' transition and asked if we could expect the same - ATC answer was affirmative. We plugged in the 'Wesla' transition expecting a wraparound to Rwy28 or maybe something else. As we started down that fork; ATC asked our intentions and [we] told them we were on our way to 'Wesla.' What they really wanted was the 'West' transition to Rwy28. Turned back on course to Menlo for the 28L ILS uneventfully.,
1246858,chartorpublication,Around XA00 I was flying to HNZ with my IFR student. We filed a flight plan to HNZ then back to ZZZ for a 2 hour flight. We were with Raleigh Approach receiving vectors for the RNAV GPS for Runway 24 at HNZ. The controller advised me to proceed direct to a point which I could not locate. I responded to her that I cannot go direct because I cannot find this fix. She just kept telling me to go direct to this imaginary fix; so I just went direct to the IAF for the approach. She said nothing of it so I assumed the point I went to was correct. After the RNAV 24 approach we wanted vectors to shoot the RNAV 6 back in. Instead of going to the IAF and doing a course reversal the controller advised us to go outbound to TUCOV. TUCOV does not exist. We just went outbound until we crossed Virginia and I took controls and turned around inbound; I heard nothing from the controller and he cleared me in for the approach. Why would a controller have me fly outbound when I am on the course to do a course reversal is what I was wondering about. After the approach we headed back to ZZZ. I spoke to my boss and we called the Raleigh approach on the telephone. Turns out that the controllers had expired charts; hence the reason we had this confusion.,
1247464,chartorpublication,Received the clearance to fly the HUDAD1 RNAV Departure in DFW via PDC. On the PDC clearance the Altitude clearance was 'climb via SID' with no altitude listed. I consulted the departure using my LIDO charts. On the depiction the chart said for initial altitude see inset. I looked at the inset and saw an altitude of 5000 feet listed for YAMEL. I thought this was the initial assigned altitude so I set it in the altitude preselect. I briefed the clearance with the captain before pushback and the error was not detected. We taxied out to runway 17R and were cleared for takeoff. As we climbed we were told to contact departure. The captain checked in with departure and we continued to climb to 5000 feet. We began to level off at 5000 and remained there for a few seconds when departure queried as to what our assigned altitude was. The captain told him 5000. He told us to check the departure and that it was in fact 10000. He told us to continue the climb to 10;000; which we did. The captain apologized and the controller said 'no problem'. It didn't seem to be an issue with the controller since there was no traffic in the immediate vicinity. The LIDO chart format has very important information scattered. While it may seem trivial; having a visual depiction and a textual description on 2 separate pages is not user friendly. We cannot compare the two side by side. The visual depiction of the departure and the assigned altitude was also misleading. It has been very difficult to transition to the information depiction on LIDO charts; especially when going into unfamiliar airports. The only two ways this can be solved is getting comfortable with the charts; which may or may not happen and may result in other transgressions before one is comfortable. The other way is to use charts with better depictions of the important information; such as Jeppesen.,
1247758,chartorpublication,On a recent trip the first officer and I attempted to use the new LIDO chart system.  The first officer was pilot flying and attempted to setup and brief the departures and approaches using the new LIDO chats.  I also had the LIDO charts out and I was backing it up with my Jeppesen charts.  Several times during the first officer's briefings I noticed that he had omitted critical pieces of information.  We both had to refer to the Jeppesen charts to ensure the proper information was inputted and correctly briefed.  We also had instances where information was not included at all.  The idea that we will solely be relying on the LIDO charts in the future is a great concern of mine.  [Our company] has been presented with many challenging variables in a short amount of time; new first officers; new captains; new cities; new main line procedures.  I feel that making this change now presents a level of risk to the operation that is unacceptable.  I encourage the FAA and management to take action and abandon the move to the LIDO chart system before we are listing it as a major contributing factor to an incident or accident.  Thank you for taking the time to review my concern.  My hope is that we can work together to fix this problem before we put passengers; crews; and equipment at risk.,
1248903,chartorpublication,We were cleared from CLE via the AMRST4 Departure SID. During our briefing of the departure procedure; AMRST4; page 10-3A; we noted that the initial climb verbiage for our initial climb referenced 5;000 feet or assigned altitude.  We noted that the top altitude referenced 3;000 feet.  We set 3;000 feet in the Altitude window and briefed 3;000 feet as the top altitude on the initial climb. We discussed among ourselves how this was confusing; but it seemed that more and more; we are seeing the altitude depictions on SIDS that are presented in a manner that is sometimes difficult to understand.On the previous flight segment into CLE; we had reviewed the CLE NOTAMs.  We saw several; including three NOTAMs for instrument approach procedures and the AMRST4 NOTAM requiring RNAV with GPS.  Prior to departure from CLE; we reviewed the NOTAMs again.  In both of these reviews; the NOTAM on the AMRST4 that changed the top altitude to 5;000 feet was inadvertently overlooked. Prior to departure; we received our clearance via PDC.  The instructions were to 'Climb Via the SID;' with no other reference to altitude or departure frequency.After we departed; upon initial check-in with Departure Control; we stated we were climbing to 3;000 feet.  We were cleared higher and subsequently the Controller mentioned that there was a NOTAM that changed the top altitude on the SID to 5;000 feet.  After reviewing the NOTAMs again; we found that NOTAM.We overlooked a NOTAM that we should have seen. This was; however; an error of missing the NOTAM while looking rather than not looking at the NOTAMs. As always; a more thorough reading of the NOTAMs would have prevented this. We often place information on the cover sheet of the weather packet that sometimes will include pertinent information; runway length; for example. This NOTAM; on this departure SID is a NOTAM that would be a useful addition to the cover sheet on the weather packet for CLE departures. ATC will sometimes re-state the top altitude in the PDC; either for emphasis or by local policy.  It would be very helpful if the top altitude would be stated in the PDC.  This could be done in the main body of the PDC or as a remark as is often the case. This would be especially helpful if there is a NOTAM that lists a different altitude than the SID departure plate.,During the departure briefing of the AMRST Four Departure out of Cleveland; we misread the top altitude on the chart. It stated top altitude of 3;000 feet; but the text stated climb to 5;000 feet. We interpreted the top altitude as just that; so we briefed it as 3;000 feet. On departure; the Controller told us in the future we needed to climb to 5000' as it was listed in a NOTAM about the departure. Later on the ground; we re-read the NOTAMs and discovered it.
1249291,chartorpublication,I believe we were cleared to descend to 4000 on the SERFR1 arrival then cleared for the TIPP TOE VISUAL. The MENLO intersection in the STAR says at 4;000 feet; the TIPP TOE says 5;000 feet. I believe we complied without ATC clearance; but it is a distraction.,
1251006,chartorpublication,I was instructed by Tower to taxi across concrete ramp to Taxiway J. The airport diagram depicts the taxiways with what appears to be separated taxiways; whereas in real life it's a solid ramp area. We overshot Taxiway J and got into a position of not being able to turn onto; thus we had to use Taxiway B.  This was the first time either of us had been at that end of the airport and it was very confusing for the first time. I suspect it happens regularly because another carrier's two arrivals behind us did exactly the same thing we did as we waited on ramp traffic in front of us.I would suggest painting in the areas separating the taxiways; like many airports have a green color. Something to better depict the taxiway. Although I don't suspect I will make the same mistake having experienced this. My concern was uncertainty clearing across over concrete ramp to Taxiway J.,
1251257,chartorpublication,Charts for MMSD; especially VOR DME-2 16 and VOR DME-2 34; are misleading and could lead to altitude excursion.  MARUX is 47 DME from SJD.  It shows at the top of the Approach plate just above a notation for 25 DME which is the 003Y fix.  After two months of flying there; I have yet to see anyone realize that the chart indicates the 003 comes FROM MARUX to the 25 DME fix rather than MARUX being AT 25 DME.  There is an 8000 feet restriction between these two fixes and a descent to 6000 feet afterwards.  It is very easy to miss this and descend prematurely to 6000 feet.,
1251695,chartorpublication,After landing Runway 17 at OUN; we experienced some confusion due to runway markings and barricades on the taxi into the terminal ramp.  We passed Taxiway B on our rollout due to another aircraft being on it; and we thought; blocking our exit. We later figured out Taxiway B is the ONLY useable taxiway onto the terminal ramp.  We continued down the runway to taxiway C where we saw a number of barricades and did not think we could taxi any further without getting stuck due to barricades. We then continued down Runway 17/35 to the intersection of it and Runway 3/21. At that point we did not see any barricades blocking our turn onto the closed runway and thought it was open for taxi only. There was a NOTAM for Runway 3/21 stating it was closed; but nothing telling us we could not use it for taxi. Being based elsewhere; we used a closed runway for taxi all the time; it is our norm. As we continued down 3/21 someone spoke to us on the CTAF frequency stating we had to do a 180 and taxi back on 17/35 to get to the ramp. We did; and exited B to taxi across Runway 3/21 to get to the ramp.  Again; there was poor signage and barricades not clearly marking where we could not taxi. That combine with the outbound aircraft on Taxiway B blocking our initial turn off; we did not know how to get to the terminal.,After landing at OUN during uncontrolled operations (tower closed) we became confused during taxi into the ramp. On roll out we bypassed getting off at taxi way B due to an aircraft on the taxi way. Taxi way C appeared to be unusable because of barricades visible from 17. Taxiing further down 17 it appeared the only route to the ramp was down the closed runway 3/21. Someone in the tower recognized our confusion and directed us to back taxi down runway 17 to taxi way B which crosses the closed runway and then taxi way A to the ramp. The crew was aware of all NOTAMs and even had to submit for a waiver due to the displaced threshold and reduces LDA. I spoke with the airport manager following shutdown.
1251890,chartorpublication,Filed and cleared for the SERFR1 RNAV STAR. We were given numerous step-downs while being cleared to follow arrival. As we approached MENLO ATC told us to expect the Quite Bridge 28R approach. ATC requested that we call the airport or San Mateo Bridge in sight. After descending below 5;000 feet for 4;000 feet; I called the airport in sight and we were cleared for the RW28R Quite Bridge approach. On the SERFR1 Arrival the crossing restriction for MENLO is 230/4;000 feet. On the Quite Bridge approach MENLO's crossing restriction is 5;000 feet. I called NORCAL approach on the phone after we landed. The controller I talked to said we did nothing wrong. And he emphasized that there was an issue with the different altitude restrictions at MENLO and they were trying to correct the discrepancy which was causing confusion. He said we had nothing to worry about. He was very helpful and informative.This should be brought to the attention of all that fly into SFO to be careful of this difference in altitudes at MENLO transitioning from STAR to Quite Bridge Approach.,
1252782,chartorpublication,Oakland Center cleared us on the SERFR 1 RNAV Arrival; East Transition to SFO. We incorrectly assumed the plan view of the arrival was a depiction of the 'East' Arrival; which would take us on the east side of SFO to land on 19L as per the ATIS. Soon after passing WWAVS waypoint; NORCAL Approach realized our error and issued a vector to the west side of the airport. We did not see the narrative on the proper routing on the Arrival plate.Though there is potential for confusion with the usage of 'east' and 'west' on the SERFR Arrival; careful review of the Arrival plate would alleviate any issues.,
1254029,chartorpublication,While reviewing the PANGG[2] RNAV Arrival; the Crew noticed that note one is invalid. The note states; 'EXPECT RNAV (GPS) Approach or RADAR vectors to final approach course.  If approach clearance not received by STERE; proceed inbound on RNAV (GPS) Z RWY 22L routing.' The problem is that the RNAV (GPS) Z RWY 22L has been removed from our JEPPS and EFB. There is now a RNAV (RNP) Y RWY 22L and X RWY 22L.,
1254106,chartorpublication,Upon descent into SFO on the SERFR ONE Arrival; we were cleared to descend via the arrival. The arrival terminates with MENLO at 4;000 feet. However; we were told to plan the TIPP TOE visual to 28L. The first fix is MENLO at 5;000 feet. Then; ATC asked us to maintain 6;000 feet. These altitude differences caused minor confusion. Despite the confusion; the aircraft remained on VNAV PATH and the approach proceeded without incident. The purpose of this report is to highlight the altitude differences which cause minor confusion. Also; while remaining on the descent path; we were informed by ATC that we would leave class Bravo airspace. We re-entered within a mile or so. No known violation or deviation occurred; we just want to highlight the confusion.,
