,Assessments_Primary_Problem,Report_1_Narrative,Report_2_Narrative
1306508,equipment/tooling,As per our Operation Specifications 'Planned Redispatch or Rerelease En Route;' this flight was unable to obtain the Required Updated Fuel in Time from the Recleared Point IMRAD to continue on to the final destination. The aircraft crossed waypoint 'IMRAD' at XA48 at FL370 with 23;500kg of fuel on board. Required fuel was finally provided at XB04 for 20;578kg. Then another required fuel of 18;685kg came later through ACARS at XB07. Opsec Section 4 states the following: A new operational analysis must be conducted within 2 hours prior to the flight's arrival at the planned redispatch or rerelease point. In preparing the new operational analysis; the dispatcher or person designated to exercise operational control (other than the pilot in command) must: (a) Conduct an updated fuel analysis based on the current route of flight; wind conditions; and aircraft weight on the route from the planned redispatch or rerelease point to the intended destination airport and ay required alternate airports; and........ According to the dispatcher; the system was offline and was unable to compute a new Flight Plan from the recleared point. In summary the Recleared Flight Release was not issued until after crossing the Recleared Point. Not sure if this was legal; since the information should have been obtained before crossing the Recleared Point. The D.O. was in the Dispatch Center and instructed us to continue beyond the Recleared point until the system came back online. We therefore proceeded and obtained the official numbers 16 minutes past the recleared point. We then continued to our destination with no further incident. Dispatch did not have a backup system.  Dispatch should obtain a backup system to avoid any further similar incident.,I was in the bunk bed for crew rest at the time of this event. The following narrative is what I was informed when I reported back in flight deck.At approximately 2:45 prior to estimated rerelease (RR) point; Ops Control sent a message via ACARS to the aircraft requesting estimated time; fuel on board; and altitude for the planned rerelease point. Information was provided as requested to Ops Control by the IRO's on the flight deck as the PIC and FO were crew resting in the bunks.At around 1:40 prior to the rerelease point; the crew queried Ops Control via ACARS about the destination and alternate weather; any notam changes; and the recalculated fuel required at the RR point. Ops Control replied stating that the flight planning software was currently down; and that the required fuel was unable to be calculated and that the crew should stand by until further notified by Ops Control. Weather for the destination and alternate airports was sent at this time; and no new notams were in effect.Around 30 minutes prior to the RR point; Ops Control was contacted by the crew via satphone and asked again about fuel required. The crew was told to call back in 10 minutes if no fuel number was sent by Ops Control via ACARS. The crew contacted the PIC out of rest to come to the flight deck at about this time.Ops Control was called again about 10 minutes later via satphone; the crew discussed the still inoperative flight planning system with Ops and the need to make a decision whether a diversion was to be planned; or if any other option was available such as a hold prior to the RR waypoint. Ops Control asked how much 'extra' fuel we had onboard as shown on the flight plan at the last waypoint crossed; which was around 1800 kilos. The crew was told that the DO was in the Ops Control area and was telling the Ops controller that we could proceed beyond the RR point to the next waypoint due to the fact of having this 'extra' fuel available. The crew questioned the legality of continuing beyond the RR point without actually having the required fuel calculation to continue; and was told that the DO was authorizing this.The crew was told to continue past the RR waypoint and six other waypoints several times towards the destination airport before finally receiving the recalculated fuel required for the rerelease 16 minutes after passing the RR point.
1308342,equipment/tooling,We were departing DFW through a PDC (pre departure clearance) request. The PDC showed our filed flight plan SID (DALL2) and routing. We entered the DALL2 SID into our FMS. We then taxied to the assigned runway 35L. Upon departure we were directed to go to a fix which was not on the DALL2 departure. We informed departure control that we did not have the fix on the DALL2 SID. The controller then gave us a heading; which we complied with; and handed us off to another controller. We confirmed to the second controller that we were on the DALL2 SID. The second departure controller directed us to fly several vectors; all of which we complied with; and he then cleared us to SWB; our expected waypoint. The balance of the flight continued normally.We subsequently learned that the PDC also showed the MRSSH1 SID. I believe that having two SIDs on the PDC is a source of confusion and a safety issue. We have never had two SIDs on a PDC clearance previously.,Upon receiving our Pre Departure Clearance (PDC) it contained our filed flight plan and SID. It also contained another SID. This caused some confusion upon departure.I think the PDC format is unclear and confusing.
1308633,equipment/tooling,A customer had a medium size aux battery plugged into a power port at their seat and from the battery to a phone that was being charged/powered; when the battery suddenly got very hot and started to smoke. It was unplugged from the power port and disconnected from the phone and a Flight Attendant transferred the battery to a steel coffee carafe per the inflight procedure. According to the Purser; it was initially too hot to handle and smelled strongly of being burnt. Customer said she bought the battery in China because it was such a cheap price. I inspected the device after it was cooled down and did not see any external damage to it; although there was still; after a couple of hours; an odor to it and it was slightly warm to the touch. Battery says Smart AC 120; and 'WABAN' on the face of it.Ban customers from having any LIPO batteries that are not installed in a device. Ban them entirely from checked baggage (Good luck with that).,
1310958,equipment/tooling,While servicing crew oxygen bottles found red oily watery substance dripping from Haskell oxygen booster servicing device.  In further investigation I noticed a clear bowl mounted to the Haskell booster also had collected red fluid. I shut down operation of oxygen servicing and reported this to my manager.I suspect oil is coming from the hangar shop air compressor used to pump the Haskell device.[Suggest] an oil-less compressor dedicated for the oxygen room only with an air/oil separator filter.,
1311967,equipment/tooling,Deadhead to pick up flight. Upon arrival; am informed that the last Crew assigned the aircraft refused to fly it. I told Ops 'I'd take a look' to see if it was dispatchable. Upon inspection of the logbook; I noticed that the FMS was non-operable and to put some icing on the cake; the pressurization system had failed also and was being run in manual mode. I then refused the aircraft also. Now; in all honesty; if I had to fly around Texas on a bright sunny day such that it was; this aircraft would have been workable (Notice I didn't say 'Fine'). But to go to a busy airport in the country with an aircraft that can't do LNAV or VNAV and doing it single Pilot-like because if you haven't run a pressure controller in manual; you'd quickly realize that your basically single-Piloted because it takes that much attention from the FO running that system alone. So; I utilized my judgement built on years of flying and opted not to take it.,
1312509,equipment/tooling,We departed in a B737.The weather was gusty winds with IMC off the end of the runway. At 400 feet AGL; we engaged LNAV and confirmed LNAV to a fix. Passing approximately 6000 feet; I was distracted by my duties during a very high workload environment. I was contacting Departure Control; setting the thrust levers to climb thrust; retracting flaps; setting gear handle to Off; and placing autobrake switch to off.I then looked at my HSI and noticed we were off course to the right approaching one dot deflection. I then looked over at the FO's (First Officer) PF's (Pilot Flying) attitude indicator and saw the aircraft was in a 30 degree right bank turn. The F/O (PF) was following his flight director which was commanding a 30 degree right bank turn. I immediately directed the F/O (PF) to turn left; explaining we were off course. He complied and banked left disregarding the flight director commands. As we were trying to figure out why the flight director was giving us erroneous commands; NorCal Departure told us we were right of course and to turn to a heading of 110 degrees. Once we selected HDG SEL the flight director gave us correct commands.,We immediately went into the weather and were experiencing light to moderate turbulence (takeoff winds were 210/25G35). I was following my command bars and at approximately 6000 feet (approximately 1500 feet AGL) I realized I was in a right 30 degree bank turn going away from the course. At that moment; the Captain said we need to come back to the left. I immediately turned left to get back on the course (disregarding my flight director). Departure Control then asked if we were turning right and gave us a heading of 110 degrees. The Captain selected Heading Select and the command bars then showed a left turn. We got back on course and continued the flight. The command bars may have been trying to turn around back to ZEFFR or to the initial fix on the ZEFFR Departure. We reviewed all our procedures and cannot figure out what caused the command bars to turn right.Not sure if the cause was a B737 and the discontinuity of the SID Departure. Even though it was only a matter of seconds before I recognized there was a problem; then a few more seconds to decide what instrument was giving me the erroneous information; I could have done it quicker with the departure path in mind. In retrospect I will; in the future; bring the general heading of the path more to my crosscheck to back up the command bars. When flying the B737; into weather; into turbulence on takeoff into high terrain; be extra confident on approximate headings and departure track.
1313158,equipment/tooling,During initial cockpit setup procedures I noticed a somewhat strong acrid electrical burning smell. Lead FA confirmed the smell and I entered a MRM and issued a follow-up call to MX. Within 5-10 mins the smell had dissipated by the time MX arrived. MX signed off and released the aircraft. Pushback; start; taxi and right seat takeoff were all uneventful and normal.At approximately 2000 AGL during the departure; we noticed the same strong acrid electrical burning smell; donned O2 Mask and established crew communications. Immediately following we observed the Blower Fault ECAM message. The FO selected AP2 and I accomplished the ECAM procedures. During the ECAM procedure the aft FA called saying '...we have strong fumes in the cabin'. I [advised ATC] and requested immediate return to the departure airport. I gave the FO the aircraft and radios while I updated the FMC; coordinated the return with the FAs and made a cabin announcements. We entered a left base 4-5 miles outside the marker at approximately 220 kts. I transferred control from the FO and completed an uneventful stabilized approach and overweight landing. The FO made a cabin announcement for the passengers to remain in their seats; we contacted ground; the fire department; and taxied to the gate.,
1314248,equipment/tooling,During descent water dripping from Captain's side window on EFB causes it to randomly switch to unwanted display modes during critical phases of flight. Condensation from window frame drips on EFB. It is mounted in a very poor location where the lower corner interferes with captains left leg during landing. It covers the rudder height adjustment switch and condensation drips on it during descent.,
1314331,equipment/tooling,During preflight briefing; the Crew noted that the route in the FMC defaulted to and loaded a Runway for a particular RNAV Departure. The active runway was different. If uncorrected; this could have resulted in a huge problem on departure. I inquired of the FO whether he often sees the runway pre-load to a default runway on our 01 routes. He stated that he thought that about 20% of our routes pre-load a runway. I was shocked to learn this. I believe that this is a bad idea; especially on RNAV routings and even more especially at locations where the wrong runway loaded could result in a major course deviation. It would be fine if the departure was just limited for use from that runway. I realize that our procedures and briefings are designed to catch wrong runway loading errors (which they did in this case) but feel we are setting ourselves up for navigation errors by pre-loading runways in the 01 routes. Chief Pilot on Call was notified of my concerns.,
1317374,equipment/tooling,I drove a tug out onto the ramp to pull and refuel carts. I saw a heat cart on fire next to the left side of the aircraft and drove towards it. I called on the radio for somebody to call the fire department that there is a heat cart on fire. When I got to the scene I saw a work truck with a fuel cart attached to the vehicle next to the burning heat cart. I saw [an employee] using a fire extinguisher to put out the fire. Our shift manager was on the radio saying get away from the fire. I was going to drive away with the work truck that had the fuel cart attached to it but the fuel nozzle was still attached to the heat cart that was on fire. I was afraid the fuel nozzle was still pumping fuel. I saw [someone] walk to us with a fire extinguisher and began to put out the fire. Then I saw [the first employee] hit the fuel nozzle with the fire extinguisher and the fuel nozzle detached from the aircraft and when I saw the fuel nozzle was not pumping fuel; I then got into the work truck and drove away with the fuel cart attached to a safe distance. I saw the fire department arrive and extinguish the fire.[We need] better maintenance of heat carts and better fueling procedures.,
1319234,equipment/tooling,While towing aircraft from C16 to East Cargo at ZZZ with Super Tug-4; the Tug lost all power resulting in having no steering; brakes or lights; causing us to drift to a stop on Taxiway NB just Short of EA on the right side of the taxiway; taking out one taxi light with the right main tire of the Aircraft.,
1319991,equipment/tooling,Vectored in at 3000 speed 170 knots with autopilot flying; cleared for the ILS 22L approach at EWR.  The aircraft intercepted the LOC and then the GS while configured at flaps 20. At GS capture the aircraft pitched up abruptly (un-commanded) and then made an equal and opposite correction below to return to the GS; this continued in a series of decreasing magnitude of up and down in a wave to a point at 2000 where the whole thing washed out and a stable approach was flown to a landing. I have personally noted this event on nearly all arrivals within last 10 weeks and while flying all different versions of B75/6 aircraft; but this event was very similar to my last reported event. The pitch disturbance was great enough that my First Officer seriously considered disconnecting the autopilot. But; again. All was well by 2000 feet.This event was bad enough to disturb my passengers; it needs to be addressed.,
1320714,equipment/tooling,In flight I received an ACARs message that revised our zero fuel weight. The new weight was 1;100 pounds more. No adverse conditions were caused by the error. Upon landing; I was advised that the system computers were dropping bags out of the calculations with no indication to the operators.,ACARS message revised Zero Fuel Weight (ZFW) one hour into flight. We entered new data into FMC. Performance and landing weight ok. NO MZFW or MAX After Take Off Gross Weight (ATOG) were exceeded. No envelope or CG limit was out of tolerance; supposedly a computer malfunction on aircraft loading side.
1321695,equipment/tooling,Pulling into gate in IAH a truck drove directly thru the safety zone and the 'Safe Park' system did not tell us to stop due to an obstruction. Recommendation for improvement- ensure the scanning of the safety zone is accurate and provides instantaneous feedback to the crew via the signage. Useful improvement (do not have to wait on marshallers); but system must be out of beta and ready for prime-time. This example illustrates why it is not yet. Had we followed the signage and continued our approach to the gate; it is possible we would have hit the vehicle. My attention must be singularly focused on the lights guiding me to gate; which means the FO must back up the Safe Park scanning of safety zone.,
1322126,equipment/tooling,Repeat discrepancy for 'spongy brakes; left seat; left pedal.' Multiple corrective actions 'bled brakes; ops satisfactory.' With the corrective action available to us; we thoroughly checked the brakes by pumping the brake while observing the pins on the brake pads. Cable snapped while checking. Corrosion of the cables should be inspected anytime a brake issue similar to this is reported as a discrepancy and/or an AD should be issued to check all cables more frequently.,
1322139,equipment/tooling,On the climb out we first had an Attitude Direction Indicator (ADI) roll mismatch; followed by Horizontal Situation Indicator (HSI) roll mismatch. We then lost both of our yaw dampers and flight directors and also had an AHRS data invalid message. At this point we decided to return to the airport.,
1322985,equipment/tooling,This has now happened multiple times so I am writing it up. The tugs are being fitted with LED headlights that are so bright that it is difficult to see the safety zone right in front of it and; at times; the Marshaller. And since we have no way to communicate with them except flashing our lights; they usually think it's a belt loader or towbar too close to the line; NOT the blinding lights. In my conversation with the Ramp tonight I learned that they don't have a light switch; and are afraid that when it's cold; the tug may not restart; so they leave it running.,
1323350,equipment/tooling,As I was loading inside the rear cargo  [bin] I reached for a bag per new policy. As I reached for the bag my hand was caught underneath the moving belt. As my hand was trapped I reached for the sensor which were removed from the belt loaders; then I attempted to hit the Emergency Stop button; but [that] was also removed from the equipment. I finally reached across my body using the opposite hand. My hand was stuck and almost pulled my entire body out of the aircraft. I managed to dislodge my hand from the belt and immediately exited the aircraft and went to Supervisors office.,
1325982,equipment/tooling,Aircraft X checked on frequency out of climbing to 29;000 feet and stated that he was Non-RVSM.  There was nothing indicated in his flight plan that showed that Aircraft X was Non-RVSM.  There was also no coral colored box around the aircraft altitude.  Aircraft Y was in level flight at 30;000 feet on a course that I thought would clear Aircraft X.  I was still processing the fact that the Non-RVSM information from the plane and my display were at odds; so I failed to stop Aircraft X at 28;000 feet.  When I realized that the proximity was going to be too close; I turned Aircraft Y 20 degrees left.  During this time my Assist changed the equipment qualifier on Aircraft X to show he was Non-RVSM and conflict alert activated.  After separation was reestablished; Aircraft Y was cleared back on course. The pilot of Aircraft X stated that he had filed the same flight equipment numerous times and it kept showing that he was RVSM qualified when he wasn't.When a flight plan is filed it should give feedback to the pilot to show whether the altitude request is showing RVSM or NON-RVSM based on the equipment that is input.,
1326784,equipment/tooling,Seated in 4L outboard jumpseat during ascent to level flight at cruise altitude. Dry ice packet placed on top of meal cart; directly across from jumpseat and at eye level; exploded sending fragments of dry ice into my right eye.,
1328219,equipment/tooling,This aircraft is the new one that some roller bags fit on their sides. Because more bags are fitting into the overhead; it is very; very heavy to lift and close. We were trying to get them closed as quickly as possible as we were at departure time. One of the agents was helping us close them and even passengers helped as we couldn't close them by ourselves. It takes two people to close a full one. Two of my coworkers were complaining about hurting after the first flight and will probably be filing injury reports. A female passenger had opened one to grab some things out and I could see her struggling to close it. She also said it was very heavy for her after she closed it. The bags are supposed to go towards the back of the bin so the pivot mechanism will work and help close the bin; but we kept pushing the bags towards the back and they kept coming forward. So we were having to lift the entire weight of the bin. Also; a few people bumped their heads on the bins as they were deplaning; but when I asked them if they were okay; no one seemed to have any injuries.[I] suggest going back to the original bins that are simply a lid being closed like we have on [some of our older 737s].,
1328792,equipment/tooling,Cessna TKS Caravan. One hour IMC flight in light icing. TKS system in normal mode overwhelmed in light icing (As usual). Pilot increased to high mode (middle TKS setting). Usual TKS odor in cockpit; noted usual TKS contamination effects. Received ATC delay vectors; due to traffic; for ILS approach in IFR conditions in snowstorm. Aircraft had 5 gallons of TKS remaining. Approximately 19 minutes of anti-icing capabilities remaining upon landing; not enough for a missed approach or alternate.Aircraft has TKS fluid range of approximately XA:20 on middle setting (high) which is usually required when encountering weather. Aircraft has one hour range in weather Due to limited TKS fluid quantity; equaling time limited icing capabilities of the C208 TKS Caravan. TKS fluid quantity should have similar required reserve requirements as fuel; but based on TKS 'High' setting (middle setting). 'Normal' TKS setting is typically used prior to encountering icing; 'High' is typically required to being overwhelmed by light ice.,
1329112,equipment/tooling,My crew and I experienced an unsafe situation. We had arrived at the gate approximately 1 hour prior to our scheduled departure to discover an extremely unsafe level of Carbon Monoxide in our aircraft cabin. With the help of the Flight Attendants; we opened all aircraft doors to try to 'air out' the cabin prior to passenger boarding. I called Ops and reported the problem and asked them to remove the adjacent aircraft as I initially believed that to be the piece of equipment that was dispelling extreme exhaust fumes (the jet bridge air unit is apparently inoperative) With the cabin somewhat airing out and all aircraft doors still open; I realized that the unsafe exhaust fumes were still entering the cabin; upon further investigation; I realized that the Ground Proximity Unit (GPU); next to the aircraft right side of the nose area was also spewing a great plume of exhaust smoke! I again called Ops and asked for that piece of equipment to be shut down and removed. I also went outside to discuss the problem with the first Ramp Agent that I located. He informed me that numerous pieces of ground equipment are in similar; poor condition and that the air units on many jet bridges are inoperable forcing them to utilize the Ground Support Equipment (GSE) that are faulty as they have no other choice! One of our Gate Agents also stated that they have 'this problem' every morning! The conditions that our Ramp workers are subject to; as well as our Gate Agents; working in close proximity to these faulty pieces of GSE is unacceptable and UNSAFE! The cabin air when my crew and I entered the cabin was UNSAFE! Please do all that you can to have these faulty pieces of equipment either repaired or replaced ASAP so that none of us suffer irreparable health conditions because of them. I informed Ops at the time of the incident. I feel that this is a critical situation that needs to be addressed!,
1329558,equipment/tooling,I was providing training on sector 37 when the event occurred. Aircraft X was at FL330 on course for PXR and Aircraft Y at FL340 was direct HEC. The two aircraft were in level flight when they crossed each other by the required 1000 ft separation between two RVSM qualified aircraft and crew. While they were within 5 miles lateral of each other Aircraft X reported that they had just lost their autopilot and were now NON-RVSM. My trainee then descended the Aircraft X out of the RVSM Airspace and updated the flight plan to reflect non-RVSM status. However; due to the aircraft proximity we had a loss of separation due to the loss of autopilot by the Aircraft X. No suggestions; there is nothing that can foresee an equipment malfunction to avoid such an event from happening again.,While training and working the R37 position Aircraft X; at FL330 informed me he had to leave RVSM airspace immediately. I asked the pilot for the reason first instead of immediately descending the aircraft and the pilot informed me he had lost the auto pilot function onboard the aircraft. Meanwhile Aircraft Y at FL340 was flying opposite direction to Aircraft X approaching the 5NM radius which we use for standard separation. Realizing the two aircraft now have potential to be an issue due to a new non-RVSM aircraft involved; I descended Aircraft X to FL270 informed management and continued to work the sector. I have no recommendations for this occurrence due to the uncontrollable outcome that took place.
1329928,equipment/tooling,One night; an Airplane Maintenance Technician (AMT) was troubleshooting a seat issue on a 777 when one of the seat actuators inadvertently moved. The AMT had his thumb amputated on the spot. My question is; if the company truly cared about safety for the employees; how is it that the company has stayed silent on this event? While all the facts of the case aren't known; I'm sure the company could have issued some type of alert to make sure this did not happen again.,
1331662,equipment/tooling,We arrived at the airplane from layover; and preformed our preflight duties. When I checked the O2; the pressure dropped approx. 400 lbs. and stayed there - recovering after the test. I asked the F/O (First Officer) to test; and got the same result. We then tested at the same time; and the pressure dropped about 850 lbs. I called local ops for the mechanic; wrote it up in the maintenance (MX) log book; and sent an ACARS message to MX. When the contract mechanic showed up and I demonstrated the problem; he called MX control. They told him it was within limits. I requested to speak to the MX controller; who said to me that nothing was wrong since the pressure while testing; was still above allowable (approx. 950lbs). I explained that it was definitely NOT normal. That I've flown 737s for 10 years; and this has never happened before. I got the run around that it was a contract MX base and no parts; and who knows how long it would be before it could be corrected to my satisfaction. I indicated that the mechanic was here; and could inspect the system. I was particularly concerned that the valve was only partially open (Bernoulli's principle). MX control spoke again to the contract mechanic; who went below and inspected the system. He returned 5 minutes later - problem solved: The valve was less than one full turn open; and safety wired. He clipped the wire; turned the valve about 7 turns to full open; and reinstalled the safety wire. The system then tested normally.Whomever worked on the O2 system did not follow procedure - possible catastrophe. The pilots who brought the plane in (and all those who flew it after the O2 was improperly worked on); either did not preflight the O2 system; or did not investigate a non-normal indication - possible catastrophe. I felt pressured by the MX control that I was writing up a nonissue - With a new captain; or weak personality - possible catastrophe.,
1331706,equipment/tooling,I was driving an electric pushback tractor to assist in the dispatch of the flight. I followed normal SOP (test the brakes of the vehicle) and it seemed fine. As I got within 5 ft of the towbar I tried bringing the push back [tractor] closer to the tow bar. In doing so the pushback kept rolling towards the towbar when I eventually tried to stop it with the foot brakes. I attempted the hand brake but to no avail. At this time it had hit the connected towbar with the front already rolling over the towbar. By this time I already tried the two brakes and the emergency switch. But one of the pushback front wheels was already on top of the tow bar when it rolled over and to avert hitting the nose gear I steered it away from the plane and then finally was able to bring it to a complete stop by pulling the lever into park. I then called the lead who call the supervisor and the managers. I think because I didn't panic in such an event or I would have hit the aircraft head on. After realizing I had no control in stopping the push back; [I] steered it away from the aircraft; trying to avoid any further damages. I think those electric tractors are not suitable for pushback operations since they are not always reliable in stopping.,
1333186,equipment/tooling,While arriving at [the gate] the distance remaining indicator was not operating properly and showed flashing green line when well within the arrival area. All indicators were correct. Aircraft was stopped and taxi light flashed 3 times at ramp crew. No one approached the aircraft with a head set. I would not use the Accupark as the distance remaining was inaccurate. The ramp crew was arguing amongst themselves and finally we were marshaled into the gate. The Accupark system was reported inoperative; with reason to operations on their dedicated frequency.About 1 hour later I called operations to see what the outcome of the inoperative system was. No one knew that the system was inoperative!Problem area....1. Lack of ramp crew awareness of aircraft to ramp signals.2. Operations dismissing inputs from aircrew. This will end up causing and injury; damage; or death if inoperative systems are continued to be utilized after being reported as malfunctioning.I should not be required to check on completion of task when reporting malfunctioning systems. The reporting; and corrective checks and balances used by operations are flawed and dangerous.,
1333612,equipment/tooling,A new panel was ordered from shop. The panel holes from shop were too small and did not align with the structure. Holes were sized up on the bench; and were still too small. While installing panel holes were so far off it needed to be drilled up on aircraft. Was unaware any wiring was behind structure. Was unaware any damaged occurred while installing panel.     Holes in the panel did not align with the holes in the structure. Holes in panel were incorrect size for the rivnuts. Holes in panel already drilled up to proper size.,
1334979,equipment/tooling,I was assigned a Fan Air valve Remove and Replace. We proceeded to get all the Maintenance Manual (MM) references called out for in the paperwork. When reading the paper work in the MM it calls for the installation of long and short collars on the Thrust Reverser (TR) actuators. The issue is that in all the references attached; and the references for doing this job; the collar part numbers are not listed anywhere. The TR open up and deactivation process; also do not show these collars. In the Boeing Illustrated tool and equipment manual shows a massive sling; which we don't own here. The tool crib found TR locks that worked; but not listed anywhere.The second issue we had that day; is that on the TR open up; states that a minimum of 2 pieces of equipment are necessary to hold the cowl open. I do not believe that the structure is strong enough to be used as one of the hold open pieces; when someone is working in that area (Up inside the fan air valve area); and that a lock MUST be installed to prevent bodily harm. We do not currently own the sling that's called out for in the reference; and the second part number was not able to be found by stores either.  I have supplied ASAP rep with all references listed above. Please help; before someone gets harmed; and or killed under the cowling.,
1337189,equipment/tooling,Using a 12-110 volt power inverter in pilot area. It completely scrambled an iPhone and Kindle (electronic flight bag) from static electricity. I heard air carriers forbid power inverters in the flight deck area; but part 91 its unknown.,
1338251,equipment/tooling,Super tug has a suspension issue; too bouncy. Injured testicle and back from all the bouncing on the super tug.,
1339077,equipment/tooling,We didn't receive a handoff from one ATC to another. We were receiving ATC just fine and also listening to chatters to other aircrafts. Guard was also monitored on comm2. All of a sudden; we can only hear aircraft transmit and no reply from ATAC (sounds like talking to themselves). That's a sign for us. We determined we were forgotten; and need to talk to the next ATC. The first frequency we tried just handed us off to the correct frequency. Eventually; we were talking to the right center and proceeded without incident.  We were monitoring guard at all time. No one or other aircraft tried to call us on guard.Distraction was a major component. We just received a new iPad tray on the window mount. It was protruding lower into the elbow area when hand flying. We were discussing how to prop it higher to get it out of the way. When hand flying while turning the yoke; the new mount definitely gets in the way,
1340303,equipment/tooling,While on climb out; I began to rapidly accumulate moderate rime icing at 6500 feet MSL at IMC conditions that continued on up to 9000 feet MSL. I activated the TKS system on high to address the airframe icing after reconfirming cabin heat/defog was off.About 5 minutes after turning on TKS; I noticed a burning sensation in both eyes and felt slightly disoriented as though under the effect of alcohol. Although I had checked all cabin airflow sources prior to takeoff due to anticipation of icing conditions; I immediately rechecked them and noticed the overhead air vent was not fully closed; producing a slight airflow directed towards my head. I closed the vent and coordinated a descent to MVA to get below the freezing level once clear of the restricted airspace. The burning sensation in my eyes cleared up about 5 minutes after closing the vent with the disorientation clearing about 10-15 minutes later. No other issues were noted once cabin airflow sources were cut off.Modify TKS system so airflow tainted with TKS from either the propeller or wings is not allowed to flow into the cockpit.,
1340974,equipment/tooling,After moving Aircraft from hangar spot to the gate; I was pulling away from aircraft; stopped to let my partner in tug; and then proceeded to leave gate. Had to stop because steering in the tug locked up; could not turn steering wheel. This tug is a Hybrid with drive by wire technology. I was able to regain steering by turning off tug and recycling the computer. The problem came up again some 50 feet later when I stopped again. Had this happened while towing an aircraft there would have been major damage to an aircraft as well as injury to employees.,
1344697,equipment/tooling,5 minutes prior to departure I put a cable into my EFB backup battery. I noticed the lights flashed and never recalled seeing this before. About 2 seconds later I noticed smoke coming out of the battery. I tried to turn the battery off; but the lights remained on. Multiple attempts to turn the device off were not successful. We decided to leave the battery with the supervisor so we could depart. I realized after takeoff that we should have contacted dispatch prior to block out instead of enroute. Both EFBs had a high charge and the Captain had his fully charged backup battery on board.,
1345620,equipment/tooling,I was driving [a] belt loader to get it out of the way for the fueler. No problem when I performed the 1st brake stop and while performing the second brake stop the brakes did not take. The belt loader did not come to a complete stop. I had to immediately get off the belt loader to prevent injury and in doing so I landed on my lower back. The belt loader bumper made slight contact with aircraft; outbound crew confirmed no damage and flight went out 5 minutes early.,
1346513,equipment/tooling,After normal engine start; I instructed the line personnel to un-chock the airplane and disconnect the GPU. The lineman disconnected the GPU; he then returned to the front of the aircraft and instructed us to shutdown. After shutdown; I spoke with the lineman and was informed that 'the GPU had caught fire and damaged our aircraft'. Upon inspection; it appeared that the GPU plug had overheated and caught on fire. The damage to our plane was inspected and pictures were taken. The pictures were shared with maintenance and there was agreement that there was no structural damage; except possibly for one pin on the external power receptacle. The external power was deferred. I was given contact information for the FBO's station manager; and; at maintenance's request; I requested a written statement from the FBO personnel. The station manager contacted his supervisor and he was instructed to not provide us with any written statement at this time.,
1347218,equipment/tooling,A couple hours into the 5 hour flight it became apparent that; given the winds; I would need a fuel stop. I selected Thomasville Regional Airport; TVI; for assurance that they would have fuel available (There are lots of small country airports that may or may not have had fuel or self-serve). At any rate; I changed my destination to TVI in my Garmin Aera. The new route moved only slightly westward from my original route. I pulled up Foreflight and changed the route and didn't see the close proximity my new route came to the restricted area. I turned off Foreflight to save the battery for my arrival into ZZZ [originally intended destination]. I lost my GPS signal for the Aera for a short time and when it came back up; it revealed that I was somewhat inside the restricted area. By that time; it appeared the most expeditious exit was to just continue straight ahead. The infringement was totally unintentional and somewhat exacerbated by the low light in the cockpit; reviewing with the red flashlight and the untimely temporary loss of GPS signal.,
1351529,equipment/tooling,Short final to runway 35; long term construction on airport. Landing runway with new seal coat; lights; stripes; no ground traffic; no visual runway barricade; etc. Short final; hazy day; sun coming up; unable to visualize yellow 'X' on numbers '35' prior to touch down. The yellow 'X' was smaller than the '35' and obliterated by the runway marking '35'; along with shadows and haze. Distorted the view resulting in inadvertent touchdown on runway 35. No incident or accident.Mitigating factors; aside from shadows; small; difficult to visualize 'X' in the ambient light; no additional runway blocking markers on approach; nor 'X' light poles etc. available. Personal physiological needs.  RX: Need bigger; more visible 'X'; place Larger 'X' over painted runway markers where it is more easily visualized; etc.,
1352421,equipment/tooling,This flight is being run late from the prior day. This flight was [assigned a new flight number] to prevent conflict with the same flight number from this flight (yesterday's) and today's. This particular type operation tends to wreak havoc with the flight planning software transmission. However today it seems to be interfering with ACARS capability. Unable to use ACARS via the ACARS message client to contact the flight. I suspect this happens frequently when a flight is run from the prior day. In this case will revert to communications via [alternate] radio.I believe the dispatch group is unaware of this glitch. Therefore the absence of the flight from the ACARS message client may be overlooked thus resulting in lost communication and loss of operational control.IT must investigate this glitch and repair. A bulletin must be published to make all dispatchers aware of this issue.,
